annotator,course,lecture,prompt,reflections,abstractive summary,extractive summary,concepts
Aasri,ENGR 131-002,5,Describe what you found most interesting in today’s class,"I enjoyed the in class activities.
Learning about the payback.
I found the in class activity interesting
N/A
Learning more excel.
Doing the pay back analysis
Solar project
How to calculate paybAck period
Calculating payback was pretty interesting
The project we are working on.
I found the constraints vs criterion Outlook very interesting, as it helped me greatly in understanding what was needed in an assignment
I found the in class activity to be very interesting today. It was fun to do despite being fairly easy.
Making recommendation based on calculations
Finding the savings on items was interesting.
Return on capital
doing the work itself
The economic and environmental calculation for project.
Working with the team on the solar project
A04 and dividing work amongst team members
I found the discussion surrounding the planning of our group project interesting in todays class.
We start with the 4A solar project assignment as a team. I think we are having good start!
Most interesting part was the in class activity.
A03 was interesting to work on with my new group
m
Most interesting was learning about the solar team project.
Finding the payback period
It was really a class about working with teams which was easy
Trying to figure out how to support the answers to the practice in-class quiz by analyzing the given sample data was most interesting to me.","In this lecture, students found it interesting to work with their teams on the project. Students find the solar project an interesting assingment. They found the discussion surrounding the planning and dividing up the work amongst teammates interesting. They also like the economic and environmental calculation for project. Students also found working with excel to be interesting. Students found the constraints vs criterion Outlook very interesting, as it helped them understand what was needed in an assignment. Students were also intersted in working on the in class activity.","Learning more excel. I found the constraints vs criterion Outlook very interesting, as it helped me greatly in understanding what was needed in an assignment I found the in class activity to be very interesting today. It was fun to do despite being fairly easy. The economic and environmental calculation for project. I found the discussion surrounding the planning of our group project interesting in todays class.","['excel', 'in class activities', 'payback', 'payback period', 'constraints vs criterion', 'paybAck period', 'project', 'solar project', 'pay back', 'in class activity']"
Aasri,ENGR 131-002,12,Describe what you found most confusing in today’s class,"Where to find the Energia program to download also running it was a little confusing
How to use the TI thing
the requirements for the technical brief is kind of confusing.
I felt like there could have been more information about what each of the individual parts look like
Explanation of exactly what is due next Monday
The ICA requirement
Nothing
Nothing
How the programming work
Why do we have to use the kit?
Running the code
Nothing
None
Working with TI instruments and downloading necessary files.
Installing Energia
The TI board kit
Figuring out the board was very confusing, like the resistors were different values then what was listed
The instructions for how to use the TI boards and what we need to do with them.
Nothing
setting up energia was somewhat of a hassle, but after we got it to work it was very refreshing.
The in class activity took a while to understand.
Downloading the required files to run the buzzer test was very confusing as there were multiple different files in different folders and locations that needed to be downloaded.
There was not much explanation on the TI kits.
The new assignment was a little confusing. Unsure about when to turn stuff in
The whole program part of class was confusing
Almost everything about the TI Boards. Don't know the process and order, and different pdf shows different.
How to download the software and get it to run
the circuit thing was a little confusing to use
Nothing
I had no idea whatsoever about installing the software needed and the help from the staff was not clear
I was confused with the workload and the deadline of the next project.
the setup of today's lab was a bit confusing, I had multiple example filed in my filder's library, so I did not know where to insert the drivers",In this lecture students were confused by installing the software the inital instructions were not clear enough. Students were also confused by the ti boards. They were confused by its process and the order. The in class activity was hard to understand for some students. Students were also unsure about the turn in dates for the new assignment.,"Where to find the Energia program to download also running it was a little confusing I felt like there could have been more information about what each of the individual parts look like Working with TI instruments and downloading necessary files. setting up energia was somewhat of a hassle, but after we got it to work it was very refreshing. Almost everything about the TI Boards. Don't know the process and order, and different pdf shows different.","['TI', 'ICA', 'circuit', 'Energia', 'in class activity']"
Aasri,ENGR 131-002,4,Describe what you found most interesting in today’s class,"The solar panel project
Problem Scoping
Meeting new people
Solar panels can help us live a better life.
Solar panels solution was pretty interesting
Group working
The project we are working on
Meeting a new team was interesting
Listening to how we should approach the ICA problem
Learning about the problem statement
The project that we are trying to accomplish is what I found most interested if in todays class.
I like meeting new people finding what we had in common
team
nothing as of now, but perhaps finding out our team members learning about problem statements
I enjoyed learning about the new teams and the career exploration options.
The solar project and meeting new people
New group formation and emphasis on team work
I enjoyed meeting my group for the solar panel project. I look forward to working with them throughout the project.
Meeting new teammates and getting to know them.
I found the information about the solar project very interesting
I found meeting the new team members interesting in todays class.
Teaming
Thinking about the questions during the in class activity for assignment 4 was interesting. I enjoyed questioning.
Meeting my new group mates
how we get to participate and design something that can solve a real world problem
I got a new group. It was nice to see and get known each other.
Meeting team members
The solar energy project
Communication between engineers","In this lecture, students found it interesting to work with their groups and meet their team members. Students found it interesting to work on their in class activity. Students also found the solar panel project interesting. They found it interesting to work one the problem statement. Students found it interesting to participate and design something that can solve a real world problen.","Listening to how we should approach the ICA problem nothing as of now, but perhaps finding out our team members learning about problem statements I enjoyed meeting my group for the solar panel project. I look forward to working with them throughout the project. Thinking about the questions during the in class activity for assignment 4 was interesting. I enjoyed questioning. how we get to participate and design something that can solve a real world problem","['team', 'Solar panels', 'teams', 'in class activity', 'ICA', 'project', 'Problem Scoping', 'solar panel', 'teaming']"
Aasri,ENGR 131-002,12,Describe what you found most interesting in today’s class,"Taking a look at the new memo to see the new project
Learning about the new project
the new assignment that we are starting on
I liked being able to talk with my group while doing the inventory
Learning about dam background
N/A
The kit was interesting.
Program
Counting the parts in the box
I think the Taum Sauk project will be interesting.
New project
The kit
The lab kit
Lab Kit
Introduction to the next project
Getting TI kit
Actual engineers fail sometimes(taum sauk)
The breadboard content, I like electrical stuff because I am in ece
Using the TI Boards was interesting and trying to put them together.
The TI kit was pretty neat.
Setting up the code in energia was quite fun and easy.
I enjoyed learning about the new project.
I found taking the inventory of the kit interesting in todays class.
I found the TI kits interesting
I enjoyed having the ITkit. SOMETHING NEW
Not much
working with my group
the circuit board was pretty interesting, i like that they lent us one kit
The TI practice
submitting the project assignment
I found the usage of TI kit interesting
I found researching the dam and the reasons it failed to be very interesting, as it showed how many factors can lead to a catastrophic collapse.","In this lecture students found it interesting to learn about the dam and the reasons it failed to be very interesting, because it showed how many factors can lead to a catastrophic collapse. Students also were interested in learning about the circuit board. Students also found it interesting to work with their groups and learning about the new project.","I liked being able to talk with my group while doing the inventory I think the Taum Sauk project will be interesting. The breadboard content, I like electrical stuff because I am in ece Using the TI Boards was interesting and trying to put them together. the circuit board was pretty interesting, i like that they lent us one kit","['dam', 'Ti', 'TI', 'taum sauk', 'project', 'group', 'Taum Sauk']"
Aasri,ENGR 131-002,10,Describe what you found most confusing in today’s class,"Nothing
Nothing
Everything was clear
None
How to create pivot tables using multiple tabs on Mac
Nothing was confusing today. It was all pretty straight forward.
The project A08 was very confusing and I need more time to fully understand
How to use pivot tables
I was not confused about anything
Some of the histogram bin calculations were confusing.
nothing was very confusing in todays class.
I think some of the criteria/constraints for the in class assignment were a bit confusing as some could be considered both. For example the document stated that the project should have a one year payback which sounds like a criteria rather than a hard constraint. If it said the project must have a one year payback period it would be clearer.
Not much was confusing, we simply had time to work on our assignments
Not much
everything was pretty clear, a06 was confusing at the beginning but made more sense once i asked
nothing
Getting underflow value and probability with z score
what outliets true project is talking about
Outliers and how to find the outliers for the bike shade project
nothing
Nothing was confusing
Nothing","In this lecture students were confused by pivot tables, regarding how to create and use them. Students were also confused on how to find outliers for the project. Students also required further instruction on assignments 6 and 8. They were also confused with histograms and creating bins.","How to create pivot tables using multiple tabs on Mac The project A08 was very confusing and I need more time to fully understand Some of the histogram bin calculations were confusing. I think some of the criteria/constraints for the in class assignment were a bit confusing as some could be considered both. For example the document stated that the project should have a one year payback which sounds like a criteria rather than a hard constraint. If it said the project must have a one year payback period it would be clearer. everything was pretty clear, a06 was confusing at the beginning but made more sense once i asked","['a06', 'pivot tables', 'Outliers', 'A08', 'histogram', 'outliets']"
Aasri,ENGR 131-002,7,Describe what you found most interesting in today’s class,"everything
no class today
nothing
Using charts in solar project.
Studying for the quiz next week was valuable.",In this lecture students were not very interested in anything specific. Students found the entire class interesting. Students found it intersting to have some more time to study for their quiz. They also found it intersting to use charts for their solar project.,everything no class today nothing Using charts in solar project. Studying for the quiz next week was valuable.,"['charts', 'nothing', 'everything', 'no class', 'quiz']"
Aasri,ENGR 131-002,11,Describe what you found most interesting in today’s class,"Taking the quiz
Quiz
Discussing the project in the beginning with my team.
I found making the table for the quiz a bit interesting.
The most interesting part was doing the problem quiz.
it was just an exam, so nothing interesting
Nothing specific, just the quiz
Nothing was really that intersting today.
Getting the quiz done was very beneficial, even though it was delayed i felt adequately prepared and able to complete the problems while thoroughly knowing what i was doing.
U can create a lot of data in short amount of time
it was great to go over assignments due, quiz was fun
I enjoyed doing the quiz and seeing how it goes
I liked the quiz even though I was nervous for it
Quiz
The quiz
knew most of the quiz which was pretty good, hoping to get a good grade on it
Nothing
we had quiz today.",In this lecture students were most interested in the quiz they took. Students also were interested in going over the assignments they completed. Students also found making the table on the quiz interesting. Students also were interested by their project and the discussions they had with their teams.,"Discussing the project in the beginning with my team. I found making the table for the quiz a bit interesting. Getting the quiz done was very beneficial, even though it was delayed i felt adequately prepared and able to complete the problems while thoroughly knowing what i was doing. it was great to go over assignments due, quiz was fun knew most of the quiz which was pretty good, hoping to get a good grade on it","['team', 'project', 'quiz', 'Quiz', 'table', 'data']"
Aasri,ENGR 131-002,0,Describe what you found most interesting in today’s class,"I found most interesting the structure of the class time and that there is allotted time for many activities including presentations, group projects, and individual progress.
Studio time seems like a good time for us to do our work.
The projects seem interesting on their own
It's just the first class, I'm looking forward. I do want to learn many application of Excel.
I found it very interesting that most of our grade is comprised of projects. I feel like I will like this method more than having multiple midterm exams like other courses have.
The in-class activity was the most interesting. It was the first group project that we worked on so it was nice to meet some new people.
One of the things that I found most interesting in class today was the semester flow and how we are going to be doing five projects. In addition, learning about how problems becoming more ambiguous as we explore them further is interesting.
I found the ways we can analyze data to be pretty interesting.","In this lecture, students found it interesting to work on the in-class activity. Students were also interested in working with their group memebers. Students found it interesting that the class would have more projects than midterms/exams. Student found it interesting that they were given time to work on their assignments in class.","I found most interesting the structure of the class time and that there is allotted time for many activities including presentations, group projects, and individual progress. Studio time seems like a good time for us to do our work. It's just the first class, I'm looking forward. I do want to learn many application of Excel. I found it very interesting that most of our grade is comprised of projects. I feel like I will like this method more than having multiple midterm exams like other courses have. One of the things that I found most interesting in class today was the semester flow and how we are going to be doing five projects. In addition, learning about how problems becoming more ambiguous as we explore them further is interesting.","['projects', 'group projects', 'Studio time', 'project', 'presentations', 'Excel', 'in-class activity']"
Aasri,ENGR 131-002,11,Describe what you found most confusing in today’s class,"None
Nothing was confusing other than where to find the quiz
None
Today, everything was clear.
The only part of the quiz I found a bit confusing was where to add the units in the table for the descriptive statistics.
Nothing. Problem quiz went smoothly.
could I use the Internet for help?
Nothing
on the quiz, i think i got my formula wrong. It looked right bjt I wasn't getting the right answer.
Nothing was confusing, the quiz was a bit difficult to finish on time but I was able to complete it to the best of my ability.
It was a little confusing how to use pi in the equation but we did have Google
nothing
The time for the quiz was not enough
Maybe a little bit more time for working with group members to discuss what will happen for assignment 7
How to use different sheets to make a pivot table
Nothing
Nothing was confusing. I wasn't able to finish the quiz.
nothing",In this lecture students found parts of the quiz confusing. Students were unsure how to include units in the statistics table. Students were also confused by pivot tables specifically the different sheets to make them. Students were also confused on how to use pi. Students also would prefer more time to discuss assignment 7 with their groups.,"The only part of the quiz I found a bit confusing was where to add the units in the table for the descriptive statistics. Nothing was confusing, the quiz was a bit difficult to finish on time but I was able to complete it to the best of my ability. It was a little confusing how to use pi in the equation but we did have Google Maybe a little bit more time for working with group members to discuss what will happen for assignment 7 How to use different sheets to make a pivot table","['units', 'assignment 7', 'pivot table', 'pi', 'quiz']"
Aasri,ENGR 131-002,6,Describe what you found most interesting in today’s class,"Creating the table independently for the quiz
Excel quiz
Working with the team on the solar project.
Taking a practice quiz.
How to do the quiz and group work
Working on assignment 4
in class practice quiz was nice to do so we could have some insight on what we should expect Thursday
Seeing a practice quiz
Practice quiz was interesting since we could put what we learned to use
The in class quiz practice was fun and educational and I learned a lot
being able to try out the quiz
I found the in class quiz to be the most interesting today. I hope this will be able to help me on next classes quiz.
I found assigning team roles for A04 interesting in todays class.
The hot chocolate was cool
My group actually started working on our project. I'm doing calculation so that was fun.
Learning the new program we will use to take quizzes.
However, it was good to have time for practicing quiz!
Everything
I enjoyed the hot chocolate","In this lecture, students found it interesting to work on their practice quiz. They found it interesting to see what their quiz will be like. Students also were interested with working with excel. Students also were interested in working with their teams. They liked working on their projects on solar. Students also liked working with their teams for assignment 4.  ",Working with the team on the solar project. in class practice quiz was nice to do so we could have some insight on what we should expect Thursday I found the in class quiz to be the most interesting today. I hope this will be able to help me on next classes quiz. My group actually started working on our project. I'm doing calculation so that was fun. Learning the new program we will use to take quizzes.,"['team', 'Practice quiz', 'practice quiz', 'quiz', 'solar project', 'assignment 4', 'A04', 'Excel']"
