oracle,generated_summary
Most of the students had problems with the implementation of quick sort and merge sort . Some students had problems with pivot and runtime of the algorithms .,"In this lecture students had trouble with merge sort, quick sort, and the implementation of quicksort. Some students also had trouble understanding the difference between the smaller and larger pivot in the algorithm."
"Students seems still new to the idea of trees , as well as iterators . Trees seemed to bring up general confusions with following references , to traverse and link together structures . Few students had no confusions . Some asked about the potential uses of trees in practice .","In this lecture, students had trouble with binary trees, iterators, and the implementation of the binary tree. They also had trouble understanding how to set up and set up nodes with multiple references. Some students had no issues."
"Students were interested by the Towers of Hanoi problem and the recursive form of its solution . They noted the backtracking technique used to implement the recursion , and some were surprised by how short the solution was . A couple students liked the word search problem .","In this lecture, students were interested in backtracking, recursion, and the towers of hanoi problem. They were also interested in the recursive tree, the find word, and finding the correct word."
"Many students could not figure out when to use recursion over iteration . Some others had problems with stacks , sequential search recursion and tracing the recursion .","In this lecture, the students had trouble with recursion, sequential search, and the last three minutes of class. They also had trouble understanding loops and loops in general. Some students also had some trouble with the wording of the lecture."
"Most students found binary trees and structure of trees as interesting . Some others liked recursive traversal , iterators and adjacency trees .","In this lecture, students were interested in binary trees, tree structures, and the recursive definition of the trees. They also enjoyed learning about the differences between linear and binary structures. Some students also found the implementation of trees interesting."
Some students had problems with the implementation of backtracking and recursion . Some others had problems with tracing backtracking and tower of Hanoi .,"In this lecture students mostly had trouble with the implementation of backtracking. They also had trouble understanding the power functions, assignment 3, and the towers of hanoi example. Some students also had some trouble with recursion."
Almost all the students enjoyed the algorithm for determining the height of binary trees . A few others also mentioned binary trees and trees in general .,"In this lecture students were interested in binary trees, recursion, and the height of a binary tree. They also enjoyed implementing trees in java and the length of a tree."
"The students were interested in applying the divide and conquer method to recursive methods . They noted the comparison of efficiency between different recursive techniques , and cited specific examples of using recursion , such as in the computation of powers and in binary search .","In this lecture students were interested in the efficiency of divide and conquer, binary search in recursion, and the power function. They also found the runtime comparison to general recursive methods interesting."
"Students mentioned binary trees , and binary search trees in particular . They noted that they talked about recursive traversal methods .","In this lecture students were interested in binary search trees, the different ways to traverse the trees, and the different types of traversal. They also enjoyed packages and the sound effects that Ramirez made."
"Many students were n't confused by anything in particular . The confusions that arose were mostly on the backtracking techniques used in the solution of the towers of hanoi and 8 queens problems . Some students were unsure of how they would implement the solution , and otheres were unsure of how to trace the solution they were given .","In this lecture students had trouble with the backtracking problem, understanding the power functions, and understanding the implementation of recursive methods. They also had trouble understanding the towers of hanoi example, assignment 3, and nothing."
"Almost all the responses had something to do with algorithm efficiency . Some students enjoyed the math , others the introduction of Big O notation , and others the practicing of analyzing algorithm efficiency in general .","In this lecture students enjoyed learning about the run-times of algorithms, as well as the math behind them. They also were interested in asymptotic computation of run times, the log_2 notation, and the parallels between algorithms and CS concepts."
The most reported answer was the distinction between full and complete trees . Other responses included the author 's implementation of binary trees and determining the height of a tree .,"In this lecture students had trouble with binary trees, complete trees, and the author's implementation of the binary tree. Some students also had trouble understanding summation algorithms and the difference between a full and partial tree."
"Most of the students found deleting and adding nodes to a BST as confusing . Some of them had problems with implementing various BST methods , run time analysis and the interface used to navigate binary search tree .","In this lecture students had trouble with binary search trees, run time analysis, add and remove, and the binary search tree. They also had some trouble with Fergie ab, delete, and FRB-."
"The students were again interested by the BST data structure , and it 's methods for manipulating data contained within . They noted comparisons to previous discussions of binary searches in other data structures such as the array and list .","In this lecture students were interested in binary search trees, deleting a node in a tree, adding to a binary search tree, and the different ways to manipulate data from BSTs. They also enjoyed learning about the implementation of the data structure and using the ` dictionary'commands."
"Many students found Big O notation and optimizing runtimes as most interesting concepts . Some others found analyzing efficiency of algorithms , asymptotic notation and amortized time as interesting .","In this lecture students enjoyed learning about the run-times of algorithms, as well as the math behind them. They also were interested in asymptotic computation of run times and the differences between the various types of algorithms."
Many students found the implementation of linked lists and linked bags as most interesting . They also liked add/remove methods in lists and bags . Some of them found the differences between bags and lists as interesting .,"In this lecture, students enjoyed learning about the concept of the linked list, the different methods used to modify a linked bag, and the differences between ` arrays'and ` bags '. They also were interested in modifying the nodes in a linked list and the private inner class."
"Most of the students found shell sort and merge sort as interesting . A few students liked insertion sort , comparison of different sorting methods and the concept of divide and conquer .","In this lecture students enjoyed learning about merge sort, shell sort, and the differences between the various sorting methods. They also were interested in the implementation of the divide and conquer method and the runtime of each method."
"Students discussed the analysis of simple sorting methods , bubblesort , selection sort , and an emphasis on insertion sort . They noted the inefficiency of these simple algorithms , and the Big-O runtime of O -LRB- n ^ 2 -RRB- . Some students also mentioned the trace of the towers of hanoi problem .","In this lecture students enjoyed learning about the various simple sorting algorithms, including insertion sort, sorting methods, and the towers of Hanoi trace. They also enjoyed reviewing the exam stats, reviewing the binary tree, and reviewing the run-times of the various sorts."
"Most of the students found quick sort , merge sort and their runtimes as interesting . Some of them found the notion of stability and the effects of choosing different pivots on quick sort algorithm as interesting .","In this lecture, students enjoyed learning about the differences between QuickSort and MergeSort. They also were interested in the run-time of each algorithm, the stability of the algorithms, and the effects of different pivot points in quick sort."
The vast majority of students are confused about implementing queues . Some other responses include circular/doubly linked lists and how queues are used .,"In this lecture students enjoyed learning about linked lists, queues, managing nodes, and the runtimes of doing a queu with a queue. They also were interested in the examples given in this lecture."
Many students had problems in understanding divide and conquer in different implementations . They also had problems in understanding recursion in different cases . Some of the students found the math involved in calculating efficiency as confusing . A very few students had problems in using indices and basecases .,"In this lecture students mostly had trouble with the divide and conquer method. They also had some trouble with recursion, the power function, and the second qotd. Some students also had trouble understanding the base case of a function."
"Most of the students found the implementation of linked lists and removing nodes from them as interesting . Some of the students liked the differences between linked lists and bags , assert , adding nodes to linked lists .","In this lecture, students enjoyed learning about the various special cases of a linked list, learning about how to remove and add to the ADT, and the differences between a list and a bag. They also were interested in the implementation details of the linked list."
"Many students found calculating runtime , amortized time , Big O notation as most confusing concepts . A few students did n't understand creating functions in terms of ` n ' and also empirical over asymptotic .","In this lecture, students had trouble with amortized time, understanding the derivations of the functions, and understanding the difference between N ^ k-1 and N ^ l-1. They also had trouble understanding the equations used to calculate run-times. Some students also had some trouble with the use of the Big O notation."
"The students had diverse confusions . Many were abstract confusions , such as the differences between different data structures , and the differences between interfaces , classes , and ADTs . Other problems were implementation based , like the specifics of the array implementation -LRB- why not use an arraylist , what errors may arise from size issues -RRB- .","In this lecture students had trouble understanding the differences between arrays and bags, the relationship between interfaces and classes, and how to handle the overflow of an array. They also had trouble with the general syntax of the program and the runtime speed of the application."
Most of the students found the usage of stacks and iterators as confusing . Some others found runtimes and iterating through a BST as confusing .,"In this lecture students had trouble with the run time, the use of the stack, and the difference between inorder and inorder recursion in iterators. Some students also had trouble understanding binary search trees and the type of tree that balances itself."
"Almost every surveyed student mentioned implementing recursion , or that they had previously seen recursion . They talked about specific cases of using recursion , like a sequential search or a factorial algorithm . Some were interested by the Runtime stack and activation record .","In this lecture students were interested in recursion, sequential search, the runtime stack, and the activation record. They also enjoyed learning about how the AR and RTS work."
Many students want to know how to implement backtracking and when to use recursion -LRB- Vs iteration -RRB- . Some others want to know how to code for 8 queens problem . Some others had problems with efficiency of recursion and understanding when to backtrack .,"In this lecture students were interested in recursion, backtracking, the implementation of the 8 queens problem, and the benefits of recursion. They were also interested in iterative solutions and the binary recursive search code. Some students had trouble with the equations related to recursion and the backtracking problem."
"Most of the students had no problem with the lecture . However some of the students found assert , special cases in the lists , difference between linked lists , linked bags and bags as confusing . Some students suggested starting the index at 0 as they are getting confused .","In this lecture, students had trouble with the difference between linked lists and linked bags. They also had trouble understanding the use of the assert keyword, and with special cases related to lists. Some students also were confused about the starting point of a linked list."
"The students were interested in two new partition based sorting algorithms , quicksort and mergesort . They specifically the runtimes and big-O notation analyses of the two .","In this lecture students were interested in QuickSort, MergeSort, the runtime of quicksort, and the Big O of the algorithm. They also enjoyed sorting data into 2 halves and selecting a pivot point."
"The students overwhelmingly mention linked lists . Many of these mentions compared the linked list directly with a contiguous memory , array based implementation . Some seemed to understand the concept of memory addresses and pointers , and how that coupled with a node object formed the linked list . There were a few comparisons with bags .","In this lecture, students enjoyed learning about the linked lists, the process of creating them, and the advantages and disadvantages of using contiguous memory. They also were interested in the differences between arrays and linked lists."
"Students still seem to be having trouble with recursion , now in the context of backtracking . Most of the backtracking confusions were centered on the actual code implementation of the algorithm described . Some did n't seem entirely convinced of the usefulness of recursion outside of logic puzzle examples . A couple students wondered at the runtime efficiency of the recursive solution .","In this lecture students were interested in recursion, backtracking, the implementation of the 8 queens problem, and the benefits of recursion. They also enjoyed learning about iterative solutions and the binary search code."
"The interest was pretty varied this lecture . Most students were interested in algorithm analysis and a program 's efficiency . Many were intrigued by threads , but did n't think that they would have the chance to learn about them yet . Some compared binary and sequential searches . There was still some interest in lists and their methods .","In this lecture, students enjoyed learning about the differences between binary and sequential search, the use of threads, and algorithm analysis. They also were interested in the implementation of the vector class, the addition and subtraction methods in a list, and the difference between the two types of searches."
