oracle,generated_summary
Most of the students had problems with the implementation of quick sort and merge sort . Some students had problems with pivot and runtime of the algorithms .,Most students found the implementation of quick sort and mergesort to be the most challenging part of this lecture. Some students also struggled with the run time of quicksort and the power of different pivots in the algorithm.
"Students seems still new to the idea of trees , as well as iterators . Trees seemed to bring up general confusions with following references , to traverse and link together structures . Few students had no confusions . Some asked about the potential uses of trees in practice .","In this lecture, the students mostly had trouble with the implementation of binary trees and iterators. They also had trouble understanding how to set up the nodes in a tree, and how to iterate through the structure. Some students also struggled with the recursive definition of trees, and the use of iterators/Iterables."
"Students were interested by the Towers of Hanoi problem and the recursive form of its solution . They noted the backtracking technique used to implement the recursion , and some were surprised by how short the solution was . A couple students liked the word search problem .","Most students found the recursion problem interesting. They also found the tower of hanoi problem interesting, and the recursive word search program interesting. A few students also mentioned the Hanoi Tower simulation and the game."
"Many students could not figure out when to use recursion over iteration . Some others had problems with stacks , sequential search recursion and tracing the recursion .","Most students found recursion to be the most interesting topic of the day. Some students also had trouble with sequential search, tracing recursion, and the last three minutes of class."
"Most students found binary trees and structure of trees as interesting . Some others liked recursive traversal , iterators and adjacency trees .","In this lecture, students enjoyed learning about binary trees, tree structures, and how they are traversed. They also found iterators and iterables interesting. Last, they found the analysis of trees interesting."
Some students had problems with the implementation of backtracking and recursion . Some others had problems with tracing backtracking and tower of Hanoi .,"Students mostly had trouble with the implementation of the 8 queens problem, the assignment 3 method, and the binary recursive tree. Some students also had trouble understanding the trace of the towers of hanoi."
Almost all the students enjoyed the algorithm for determining the height of binary trees . A few others also mentioned binary trees and trees in general .,"Most students found binary trees and recursion interesting. Some students also found the height of a binary tree interesting. A few students also mentioned the use of recursion and the length of a tree, and how to store data."
"The students were interested in applying the divide and conquer method to recursive methods . They noted the comparison of efficiency between different recursive techniques , and cited specific examples of using recursion , such as in the computation of powers and in binary search .","Most students found recursion and the divide and conquer method interesting. They also found binary search through recursion, the power function, and the number of multiplications that each method of recursion yields interesting."
"Students mentioned binary trees , and binary search trees in particular . They noted that they talked about recursive traversal methods .","Most students found Binary Search Trees and Tree traversal interesting. They also found Recursion in Binary Trees interesting. Some students also mentioned the various classes and import them through the package, and the sound effects that were used."
"Many students were n't confused by anything in particular . The confusions that arose were mostly on the backtracking techniques used in the solution of the towers of hanoi and 8 queens problems . Some students were unsure of how they would implement the solution , and otheres were unsure of how to trace the solution they were given .","Most students had no issues. Some students had trouble with the backtracking algorithm, and the assignment 3 method. A few students also had some trouble with recursion and the power functions."
"Almost all the responses had something to do with algorithm efficiency . Some students enjoyed the math , others the introduction of Big O notation , and others the practicing of analyzing algorithm efficiency in general .","In this lecture, students enjoyed learning about algorithms and their run-times, as well as the math behind them. They also enjoyed comparing the efficiency of various algorithms to nothing at all."
The most reported answer was the distinction between full and complete trees . Other responses included the author 's implementation of binary trees and determining the height of a tree .,"Most students had trouble with the binary tree, the difference between a full and a complete tree, and the summation algorithm. Some students also had trouble understanding the differences between the two."
"Most of the students found deleting and adding nodes to a BST as confusing . Some of them had problems with implementing various BST methods , run time analysis and the interface used to navigate binary search tree .","Most of the students had trouble with adding and removing a node from a binary search tree, and deleting a node with more than one child. Some students also had trouble understanding the implementation of BST methods."
"The students were again interested by the BST data structure , and it 's methods for manipulating data contained within . They noted comparisons to previous discussions of binary searches in other data structures such as the array and list .","Most students found the binary search tree and its methods interesting. They also enjoyed the different ways to manipulate and obtain data from BSTs, the differences between a binary search and a sorted array, and deleting a node."
"Many students found Big O notation and optimizing runtimes as most interesting concepts . Some others found analyzing efficiency of algorithms , asymptotic notation and amortized time as interesting .","In this lecture, students enjoyed learning about algorithms and their run-times, as well as the math behind them. They also enjoyed comparing the efficiency of various algorithms to nothing at all."
Many students found the implementation of linked lists and linked bags as most interesting . They also liked add/remove methods in lists and bags . Some of them found the differences between bags and lists as interesting .,"In this lecture, students found the concept of the linked list interesting, as well as the methods used to modify the linked bag. They also enjoyed learning about arrays, and the differences between the private and public classes."
