reflections,oracle,concepts,generated_summary_beam1,generated_summary_beam2,generated_summary_beam3,generated_summary_beam4,generated_summary_beam5
"nothing in particular Quicksort code quick.java trace quick sort partitioning code What you do when your pivot is the smallest or largest value Nothing Exact implementation details of quick sort the tree of execution for mergesort Nothing implementation of quicksort Some parts of the quick sort algorithm Run times for the sorts is mergesort a tree execution ? How do recursive sorting methods have faster run times if generally iterative approaches are faster tree execution trace The power of different pivots in quick sort I think it was fine , although I did get the first of the QoTDs wrong . That 's more of a jab at my deductive reasoning skills rather than Dr. Ramirez 's teaching . I did n't realize that it was O -LRB- logN -RRB- for the entire Merge Sort and O -LRB- N -RRB- for each separate time it split up . I thought that , if it split up N times , then made sense that the entire sort was O -LRB- N -RRB- and the smaller ones O -LRB- logN -RRB- . If anything I explained here is wrong , maybe that 's the feedback in of itself , but I 'm learning ! Nothing was really muddy from today . It was a little complicated to understand Big-O run time of Merge Sort pivot The implementation of these algorithms is always confusing at first . A hands on approach will help me though Merge sort used non constant amount of extra memory @extractive",Most of the students had problems with the implementation of quick sort and merge sort . Some students had problems with pivot and runtime of the algorithms .,"['extra memory', 'quick sort', 'sorting method', 'constant amount', 'run time', 'separate time']",Most students found the implementation of the quick sort algorithm and the merge sort algorithm mostly confusing. Some students also had trouble with the run time of the tree of execution and the power of different pivots in the algorithm.,Most students found the implementation of quick sort and mergesort to be the most challenging part of this lecture. Some students also struggled with the run time of quicksort and the power of different pivots in the algorithm.,"In this lecture, students mostly had trouble with the implementation of quicksort and the merge sort. They also had trouble understanding the run-time of the sort and the power of different pivots in quick sort.","In this lecture, students mostly had trouble with the implementation of quicksort, the run-time of mergesort, and the power of different pivots in quick sort. Some students also had trouble understanding the log-N -RRB- difference between the smaller and larger values.","In this lecture, students mostly had trouble with the implementation of quicksort and mergesort. They also had trouble understanding the run-time of quick sort and the power of different pivots in the algorithm."
"some realistic applications for binary trees at their introduction would have helped visualize them Why we didnt learn iterators at the beginning of the term how to actually code the trees trees mathematical analysis minimum size of a binary tree How to iterate through a tree Exact implementation of trees None Iterators still are a bit confusing . Maybe walking through the example one more time would be helpful . I understood everything I 'm not sure why we would need a tree or how it could be implemented Can trees be connnected to eachother ? Iterators are generally still confusing me . How to set them up and when they are necessary . how to actually set up nodes with multiple references I 'm going to explain what I learned . Iterators/Iterables work together ; Iterable can only be used with Iterators to do for each loop like tasks . Tree structures have parent , interior , and leaf types within the structure ; it also iterates with recursive backtracking , unlike linear structures . If any of this is wrong , perhaps that 's what could be elaborated on . How efficient is it to get around in a binary tree ? If I wanted to look for a certain value , I feel like it would take much longer to get to than a linked list , or other data structure would . I do not think I had enough time for the second clicker question . There were too many options ... it was hard to pick based upon the time provided . I like it when you give a maximum of four options to pick from . That is less stressful . Uhh , probably how to evaluate binary trees , having to go up and down constantly . recursive definition of trees N/a today What those uses are exactly I would be interested in knowing more about . Nothing @extractive","Students seems still new to the idea of trees , as well as iterators . Trees seemed to bring up general confusions with following references , to traverse and link together structures . Few students had no confusions . Some asked about the potential uses of trees in practice .","['linked list', 'binary tree', 'data structure', 'recursive definition']","Most students found the binary tree and iterators confusing. They also struggled with the recursive definition of trees, and the use of iterators. Some students also had trouble with the application of the trees.","In this lecture, the students mostly had trouble with the implementation of binary trees and iterators. They also had trouble understanding how to set up the nodes in a tree, and how to iterate through the structure. Some students also struggled with the recursive definition of trees, and the use of iterators/Iterables.","In this lecture, students mostly had trouble understanding how to iterate through a binary tree, and how to set up iterators. They also had trouble with the recursive definition of trees, and the application of the trees.","In this lecture, students mostly had trouble with the implementation of binary trees, iterators, and the recursive definition of trees. Some students also had trouble understanding how to set up the nodes in a tree, and how to iterate through a tree.","In this lecture, students mostly had trouble with binary trees, iterators, and the recursive definition of trees. Some students also had trouble understanding the use of iterators and how to set them up."
"overall very interesting and fun to look at problems that are challenging but cool to play around with . tower of hanoi recursion example only took 4 lines Towers of Hanoi towers of Hanoi . and recursive checking Backtracking The recursive word search program Backtracking in 8 queens towers of hanoi problem the Towers of Hanoi only taking 4 lines of code . The recursive tree touched on at the end of class in the tower of hanoi problem . Recursion , recursion , and more recursion The towers of hanoi problem can be solved in 4 lines of code ! The towers recursion problem I think all of the potential applications of backtracking are very interesting Recursion problems I found the examples the most interesting and the way that our professor explained the examples was interesting as well . I loved the interactive game that you had students play . That 's a great idea for the classroom ! towers Hanoi Towers of Hanoi w / backtracking Hanoi towers - interesting to see how many recursions are required to solve an increasing amount of levels towers of hanoi Backtracking 's usefulness is truly great ; recursion is beautiful Today was pretty interesting . I really liked the find word -- I love boggle ! The Hanoi Tower simulation was cool to watch . @extractive","Students were interested by the Towers of Hanoi problem and the recursive form of its solution . They noted the backtracking technique used to implement the recursion , and some were surprised by how short the solution was . A couple students liked the word search problem .",[],Most students found the recursion problems and the backtracking examples interesting. They also found the Hanoi Tower problem interesting. Some students also found recursive checking and the find word search interesting.,"Most students found the recursion problem interesting. They also found the tower of hanoi problem interesting, and the recursive word search program interesting. A few students also mentioned the Hanoi Tower simulation and the game.",Most students found the recursion problem and the tower of hanoi problem to be the most interesting part of the lecture. They also enjoyed the recursive word search program and the Hanoi Tower simulation.,"In this lecture, students found the recursion problem and the tower of hanoi interesting. They also enjoyed the recursive word search program and the Hanoi Tower simulation.","In this lecture, students found the recursion problem and the tower of hanoi problem interesting. They also enjoyed the recursive word search program and the Hanoi Tower simulation."
"when recursion is a better option than a loop I thought it was clear . You need these 3 things for recursion to work ... But I kind of did n't understand if it were flexible ? Like , are the recursive/base cases the only cases strictly allowed ? Also , it is like the first one in is the first one out type of deal for the output , right ? ? Using recursion while searching Using recursion while searching tracing recursion when should I use recursion over iteration ? Recursion I found the wording of the question of the day confusing . Nothing stacks The mindset involved in thinking about non-mathematic problems recursively is something I 'll have to get used to . nothing When to use recursion efficiently I can understand how you run up the stack but I get confused about coming back down with more complex examples . Id love to go over the trace from 401 's final . There was not any point that was too muddy from today . The sequential search recursive implementation when a recursive algorithm would be most efficient More examples on recursive programs Why use recursive calls ? Are n't loops the same ? Everything was explained well . Iterating through list recursively : I really wish you would n't rush to cram one more thing in to the end of a lecture . Usually you explain stuff really really well , but the stuff that you always race to cram in to the last three minutes of the lecture never makes sense because you are flying through it . I would rather you take questions or something and wait until next class to go over that concept at .5 the speed it was gone over it the last three minutes of this class . None @extractive","Many students could not figure out when to use recursion over iteration . Some others had problems with stacks , sequential search recursion and tracing the recursion .","['sequential search', 'recursive algorithm']","Most students found recursion to be the most confusing concept of the day. They also had trouble with the examples given in class. Some students also had some trouble with tracing recursion, and the general concepts of the problem.","Most students found recursion to be the most interesting topic of the day. Some students also had trouble with sequential search, tracing recursion, and the last three minutes of class.","In this lecture, the students mostly had trouble with recursion. They also had some trouble with sequential search, tracing recursion, and the last three minutes of the lecture.","In this lecture, the students mostly had trouble with recursion. They also had some trouble with sequential search, tracing recursion, and the last three minutes of the lecture.","In this lecture, most students found recursion to be the most interesting topic of the day. Some students also had trouble with sequential search, tracing recursion, and the last three minutes of class."
"Analysis of trees and in particular binary trees through backtracking Arbitrary trees using adjacency trees to make coding more efficient The structures of trees and various types of trees binary trees Binary Trees Finding out what trees were Binary tree concept Recursive definition of the trees BSTs and how they are traversed . Recursion in binary trees I thought the introduction of binary trees was interesting Tree structures and leaves I found trees to be the most interesting because of their familiarity and the implementations of them . implementing trees and finding their height Today , we learned about Iterators and Iterables . We also started on tree structures/binary trees in comparison to linear structures . Binary trees are naturally traversed recursively , with base cases checking if a node is a leaf node in order to define a subtree . I liked learning about binary trees , it seemed very useful for future classes . Probably the fact we started binary trees today , especially full binary trees . trees structure Moving on from sorting Everything really ; binary trees , I imagine , will have plenty of practical uses . The nodes were interesting @extractive","Most students found binary trees and structure of trees as interesting . Some others liked recursive traversal , iterators and adjacency trees .",['binary tree'],"In this lecture, students enjoyed learning about binary trees, tree structures, and the recursive definition of the trees. They also enjoyed learning more about the applications of the concepts and implementing them.","In this lecture, students enjoyed learning about binary trees, tree structures, and how they are traversed. They also found iterators and iterables interesting. Last, they found the analysis of trees interesting.","In this lecture, students enjoyed learning about binary trees, tree structures, and how they are traversed. They also found iterators and iterables interesting.","In this lecture, students enjoyed learning about binary trees, tree structures, and how they are traversed. They also found iterators and iterables interesting.","In this lecture, students enjoyed learning about binary trees, tree structures, and how they are traversed. They also found iterators and iterables interesting, as well as the analysis of trees."
"nothing in particular 8 queens problem towers of hanoi example Nothing Not very much . questions about assignment 3 primarily Nothing Backtracking without looping for use in assignment 3 's indexOf method Some of the recursion was confusing but it just requires more tracing trace of towers of hanoi some of the ways we would trace through a backtracking problem still not quite confident with the actual physical implementation of recursive methods . None using recursion to find strings Without really having written my own backtracking program to understand the functionality , It 's hard to think about how it can be actually implemented none I think describing the binary recursive tree needs more time to be described . There were n't any muddy points from today . 8 queens How people come up with these algorithms Code specifics/sample code for backtracking implementation of word finer algorithm The implementation of backtracking Everything was well explained today . I have a few questions about the power functions . @extractive",Some students had problems with the implementation of backtracking and recursion . Some others had problems with tracing backtracking and tower of Hanoi .,"['recursive method', 'tracing trace', 'power function']","Most students found the implementation of the backtracking algorithm and the 8 queens problem mostly interesting. Some students also had questions about assignment 3, the binary recursive tree, and the power functions.","Students mostly had trouble with the implementation of the 8 queens problem, the assignment 3 method, and the binary recursive tree. Some students also had trouble understanding the trace of the towers of hanoi.",Students mostly had trouble with the implementation of the backtracking algorithm. Some students also had some trouble with assignment 3 and the recursion of the binary recursive tree. A few students had trouble understanding the 8 queens problem.,"In this lecture students mostly had trouble with the implementation of backtracking. Some students also had problems with assignment 3, the 8 queens problem, and the binary recursive tree.","In this lecture students mostly had trouble with the implementation of the backtracking algorithm. They also had some trouble with assignment 3, the 8 queens problem, and recursion."
"trees are the most interesting data structure so far , in my opinion . Recursively getting the height of a binary tree implementing trees in java to store data how to find the height of a binary tree recursively not much was interesting binary tree lengths Binary trees binary tree recursion Lecture felt a little long today though we got out earlier . Nothing struck me as particularly interesting . Binary Tree nodes The entire binary trees discussion Binary trees and how we can traverse them via recursion The height of a tree is found by calling max -LRB- hL , hR -RRB- +1 Recursive processing of binary trees @extractive",Almost all the students enjoyed the algorithm for determining the height of binary trees . A few others also mentioned binary trees and trees in general .,"['binary tree', 'data structure']",Most students found binary trees and recursion interesting. Some students also found the height of a binary tree interesting. A few students also mentioned using recursion and implementing trees in java.,"Most students found binary trees and recursion interesting. Some students also found the height of a binary tree interesting. A few students also mentioned the use of recursion and the length of a tree, and how to store data.","In this lecture students were interested in binary trees, recursion, and the height of a tree. Some students also found the length of a binary tree interesting, as well as implementing trees in java.","In this lecture students were interested in binary trees, recursion, and the height of a tree. Some students also found the length of a binary tree interesting.","In this lecture students were interested in binary trees, recursion, and the height of a tree. Some students also found the length of a binary tree interesting, as well as implementing trees in java."
"divide and conquer Recursion being applied to things we already have looked at and comparing how it affects the iterations . Also divide and conquer making recursion have less iterations is interesting . it will be more interesting to compare run-times 1 vs 2 recursive calls in a recursive method I 've never heard of divide and conquer before ! Divide and Conquer recustion Seeing how much more efficient the divide and conquer power method was versus the original method why sequential search through recursion is slower than binary search through recursion efficiency of divide and conquer The number of multiplications that each method of recursion yields How dividing and conquering works recursion with bubble sort concepts The divide and conquer for X ^ N and its efficiency Divide and Conquer method Divide in conquer as an efficient way to recurse I thought it was interesting finding actual cases of recursion being the most efficient method RECURSION :D I found the visuals and accompanying drawings the most interesting . The recursive case for the power function The differentiation between -LRB- x ^ / -LRB- n/2 -RRB- -RRB- ^ 2 and multiplying -LRB- x ^ -LRB- n/2 -RRB- -RRB- * -LRB- x ^ -LRB- n/2 -RRB- -RRB- was pretty interesting today . binary search in recursion Recursion via divide and conquer Divide and Conquer The idea of ` dividing and conquering , ' and it 's runtime comparison to general recursive methods @extractive","The students were interested in applying the divide and conquer method to recursive methods . They noted the comparison of efficiency between different recursive techniques , and cited specific examples of using recursion , such as in the computation of powers and in binary search .","['sequential search', 'original method', 'power method', 'recursive method', 'power function', 'binary search']","Most students found the divide and conquer method interesting. They also found recursion, the power function, and the number of multiplications that each method of recursion yields interesting.","Most students found recursion and the divide and conquer method interesting. They also found binary search through recursion, the power function, and the number of multiplications that each method of recursion yields interesting.","In this lecture, students enjoyed learning about the efficiency of recursion, the power function, and dividing and conquering. They also enjoyed comparing run-times of various recursive methods, and the number of iterations in a recursive method.","In this lecture, students were interested in the efficiency of the divide and conquer method, recursion, and the power function. They also found binary search through recursion and the number of multiplications that each method of recursion yields interesting.","In this lecture, students were interested in the efficiency of the divide and conquer method, recursion, and the power function. They also found binary search through recursion and the number of multiplications that each method of recursion yields interesting."
"Packages were interesting , and how you can group together various classes and import them through the package BST 's the different ways to traverse the trees the funny sound effects that Ramirez made blt 's Binary Search Trees Binary search trees Tree traversal types The binary search tree , and why duplicates might be problematic I guess the different types of traversals for binary trees . Copying a tree Tree Transversing Binary trees Binary Search Trees are pretty cool . They show how trees can be useful . Nothing stood out today All the recursion in binary trees @extractive","Students mentioned binary trees , and binary search trees in particular . They noted that they talked about recursive traversal methods .","['binary tree', 'binary search', 'binary search tree']",Most of the students found Binary Search Trees and Tree traversal interesting. They also enjoyed the various types of traversal and the various classes that are available.,"Most students found Binary Search Trees and Tree traversal interesting. They also found Recursion in Binary Trees interesting. Some students also mentioned the various classes and import them through the package, and the sound effects that were used.","Most students found Binary Search Trees and Tree traversal interesting. They also found Recursion in Binary Trees interesting. Last, a few students mentioned the various packages and how they were used.","Most students found Binary Search Trees and Tree traversal interesting. They also were interested in Recursion in Binary Trees, and the various types of traversal in the package.","Most of the students found Binary Search Trees interesting. They also found Tree traversal types interesting, and the various ways to group together various classes and import them through the package. Last, a few students mentioned Recursion in Binary Trees as their favorite."
"nothing in particular 8 queens problem towers of hanoi example Nothing Not very much . questions about assignment 3 primarily Nothing Backtracking without looping for use in assignment 3 's indexOf method Some of the recursion was confusing but it just requires more tracing trace of towers of hanoi some of the ways we would trace through a backtracking problem still not quite confident with the actual physical implementation of recursive methods . None using recursion to find strings Without really having written my own backtracking program to understand the functionality , It 's hard to think about how it can be actually implemented none I think describing the binary recursive tree needs more time to be described . There were n't any muddy points from today . 8 queens How people come up with these algorithms Code specifics/sample code for backtracking implementation of word finer algorithm The implantation of backtracking Everything was well explained today . I have a few questions about the power functions . @extractive","Many students were n't confused by anything in particular . The confusions that arose were mostly on the backtracking techniques used in the solution of the towers of hanoi and 8 queens problems . Some students were unsure of how they would implement the solution , and otheres were unsure of how to trace the solution they were given .","['recursive method', 'tracing trace', 'power function']","Most students found the backtracking problem mostly interesting. Some students also found the 8 queens problem and the recursive methods interesting. A few students had trouble with assignment 3, the binary recursive tree, and the power functions.","Most students had no issues. Some students had trouble with the backtracking algorithm, and the assignment 3 method. A few students also had some trouble with recursion and the power functions.","Students mostly had trouble with the backtracking algorithm, the assignment 3 method, and the 8 queens problem. Some students also had some trouble with recursion and the binary recursive tree.","In this lecture students mostly had trouble with the backtracking algorithm, the assignment 3 method, and the 8 queens problem. Some students also had some trouble with recursion and the binary recursive tree.",In this lecture students mostly had trouble with the implementation of backtracking algorithms. They also had some trouble with assignment 3 and recursion. Some students also had trouble understanding the 8 queens problem.
