oracle,generated_summary
Most of the students had problems with the implementation of quick sort and merge sort . Some students had problems with pivot and runtime of the algorithms .,"In this lecture, students mostly had trouble with the implementation of quicksort, the run-time of mergesort, and the power of different pivots in quick sort. Some students also had trouble understanding the log-N -RRB- difference between the smaller and larger values."
"Students seems still new to the idea of trees , as well as iterators . Trees seemed to bring up general confusions with following references , to traverse and link together structures . Few students had no confusions . Some asked about the potential uses of trees in practice .","In this lecture, students mostly had trouble with the implementation of binary trees, iterators, and the recursive definition of trees. Some students also had trouble understanding how to set up the nodes in a tree, and how to iterate through a tree."
"Students were interested by the Towers of Hanoi problem and the recursive form of its solution . They noted the backtracking technique used to implement the recursion , and some were surprised by how short the solution was . A couple students liked the word search problem .","In this lecture, students found the recursion problem and the tower of hanoi problem interesting. They also enjoyed the recursive word search program and the Hanoi Tower simulation."
"Many students could not figure out when to use recursion over iteration . Some others had problems with stacks , sequential search recursion and tracing the recursion .","In this lecture, the students mostly had trouble with recursion. They also had some trouble with sequential search, tracing recursion, and the last three minutes of the lecture."
"Most students found binary trees and structure of trees as interesting . Some others liked recursive traversal , iterators and adjacency trees .","In this lecture, students enjoyed learning about binary trees, tree structures, and how they are traversed. They also found iterators and iterables interesting."
Some students had problems with the implementation of backtracking and recursion . Some others had problems with tracing backtracking and tower of Hanoi .,"In this lecture students mostly had trouble with the implementation of backtracking. Some students also had problems with assignment 3, the 8 queens problem, and the binary recursive tree."
Almost all the students enjoyed the algorithm for determining the height of binary trees . A few others also mentioned binary trees and trees in general .,"In this lecture students were interested in binary trees, recursion, and the height of a tree. Some students also found the length of a binary tree interesting."
"The students were interested in applying the divide and conquer method to recursive methods . They noted the comparison of efficiency between different recursive techniques , and cited specific examples of using recursion , such as in the computation of powers and in binary search .","In this lecture, students were interested in the efficiency of the divide and conquer method, recursion, and the power function. They also found binary search through recursion and the number of multiplications that each method of recursion yields interesting."
"Students mentioned binary trees , and binary search trees in particular . They noted that they talked about recursive traversal methods .","Most students found Binary Search Trees and Tree traversal interesting. They also were interested in Recursion in Binary Trees, and the various types of traversal in the package."
"Many students were n't confused by anything in particular . The confusions that arose were mostly on the backtracking techniques used in the solution of the towers of hanoi and 8 queens problems . Some students were unsure of how they would implement the solution , and otheres were unsure of how to trace the solution they were given .","In this lecture students mostly had trouble with the backtracking algorithm, the assignment 3 method, and the 8 queens problem. Some students also had some trouble with recursion and the binary recursive tree."
"Almost all the responses had something to do with algorithm efficiency . Some students enjoyed the math , others the introduction of Big O notation , and others the practicing of analyzing algorithm efficiency in general .","In this lecture, students enjoyed learning about algorithms and their run-times, as well as the math behind them. They also enjoyed comparing the efficiency of various algorithms to nothing at all."
The most reported answer was the distinction between full and complete trees . Other responses included the author 's implementation of binary trees and determining the height of a tree .,In this lecture students had trouble understanding the difference between a full tree and a complete tree. They also had trouble with the binary tree and the summation algorithm.
"Most of the students found deleting and adding nodes to a BST as confusing . Some of them had problems with implementing various BST methods , run time analysis and the interface used to navigate binary search tree .","In this lecture students mostly had trouble with adding and removing a node from a binary search tree, and deleting a node with more than one child. Some students also had some trouble with the implementation of BST methods."
"The students were again interested by the BST data structure , and it 's methods for manipulating data contained within . They noted comparisons to previous discussions of binary searches in other data structures such as the array and list .","In this lecture students enjoyed learning about binary search trees, how to delete a node in a tree, and the different ways to manipulate and obtain data from a binary search tree."
"Many students found Big O notation and optimizing runtimes as most interesting concepts . Some others found analyzing efficiency of algorithms , asymptotic notation and amortized time as interesting .","In this lecture, students enjoyed learning about algorithms and their run-times, as well as the math behind them. They also enjoyed comparing the efficiency of various algorithms to nothing at all."
Many students found the implementation of linked lists and linked bags as most interesting . They also liked add/remove methods in lists and bags . Some of them found the differences between bags and lists as interesting .,"In this lecture, students found the concept of the linked list interesting, as well as the methods used to modify the linked bag. They also found the ` resizable'array and the private inner class interesting."
"Most of the students found shell sort and merge sort as interesting . A few students liked insertion sort , comparison of different sorting methods and the concept of divide and conquer .","In this lecture, students enjoyed learning about merge sort, shell sort, and the new divide and conquer method. They also enjoyed comparing the efficiency of the various methods and learning about the new ones."
"Students discussed the analysis of simple sorting methods , bubblesort , selection sort , and an emphasis on insertion sort . They noted the inefficiency of these simple algorithms , and the Big-O runtime of O -LRB- n ^ 2 -RRB- . Some students also mentioned the trace of the towers of hanoi problem .","In this lecture, students enjoyed learning about the various simple sorting algorithms, including insertion sort, selection, and bubble. They also found the towers of Hanoi problem interesting."
"Most of the students found quick sort , merge sort and their runtimes as interesting . Some of them found the notion of stability and the effects of choosing different pivots on quick sort algorithm as interesting .","In this lecture, students enjoyed learning about the differences between QuickSort and MergeSort. They also found the idea of sorting in place interesting, as well as the different runtimes for quick sort."
The vast majority of students are confused about implementing queues . Some other responses include circular/doubly linked lists and how queues are used .,"In this lecture, students were mostly interested in Queues, the runtimes of a queue, and managing nodes via a doubly circular linked list. Some students also found the examples helpful."
Many students had problems in understanding divide and conquer in different implementations . They also had problems in understanding recursion in different cases . Some of the students found the math involved in calculating efficiency as confusing . A very few students had problems in using indices and basecases .,"In this lecture, the students mostly found the divide and conquer method to be the most efficient way to divide the runtime. They also found recursion and the base case of the power function interesting."
"Most of the students found the implementation of linked lists and removing nodes from them as interesting . Some of the students liked the differences between linked lists and bags , assert , adding nodes to linked lists .","In this lecture, students enjoyed learning about the different ways to implement a linked list, the various special cases of removing and adding to the ADT, and the various ways to use the ListInterface."
"Many students found calculating runtime , amortized time , Big O notation as most confusing concepts . A few students did n't understand creating functions in terms of ` n ' and also empirical over asymptotic .","In this lecture, the students mostly had trouble with amortized time, the derivations of algorithms, and the Big-O notation. They also had trouble understanding how to calculate run-time, and modifying the function to increase efficiency."
"The students had diverse confusions . Many were abstract confusions , such as the differences between different data structures , and the differences between interfaces , classes , and ADTs . Other problems were implementation based , like the specifics of the array implementation -LRB- why not use an arraylist , what errors may arise from size issues -RRB- .","In this lecture, the students mostly had trouble with the implementation of the bag. They also had trouble understanding the connection between ADTs and interfaces/classes, and the difference between physical and logical size."
Most of the students found the usage of stacks and iterators as confusing . Some others found runtimes and iterating through a BST as confusing .,"In this lecture, students mostly had trouble with the use of the stack, iterators, and binary search trees. Some students also had trouble understanding the differences between inorder and inorder recursion."
"Almost every surveyed student mentioned implementing recursion , or that they had previously seen recursion . They talked about specific cases of using recursion , like a sequential search or a factorial algorithm . Some were interested by the Runtime stack and activation record .","In this lecture students were interested in implementing recursion, learning about the AR and RTS, and the factorial recursion implementation. They also found sequential searches and the runtime stack interesting."
Many students want to know how to implement backtracking and when to use recursion -LRB- Vs iteration -RRB- . Some others want to know how to code for 8 queens problem . Some others had problems with efficiency of recursion and understanding when to backtrack .,In this lecture students mostly found recursion and backtracking interesting. They also found iterative solutions and the diagonal algorithm for the 8 queens problem interesting.
"Most of the students had no problem with the lecture . However some of the students found assert , special cases in the lists , difference between linked lists , linked bags and bags as confusing . Some students suggested starting the index at 0 as they are getting confused .","In this lecture, students had trouble with the difference between linked lists, linked bags, and linked lists. They also had trouble understanding the use of the assert keyword, and special cases."
"The students were interested in two new partition based sorting algorithms , quicksort and mergesort . They specifically the runtimes and big-O notation analyses of the two .","In this lecture, students enjoyed learning about quicksort, mergesort, and quick sort. They also found the ` hack'approach to sorting interesting, as well as the difference between the two approaches."
"The students overwhelmingly mention linked lists . Many of these mentions compared the linked list directly with a contiguous memory , array based implementation . Some seemed to understand the concept of memory addresses and pointers , and how that coupled with a node object formed the linked list . There were a few comparisons with bags .","In this lecture, students found the concept of linked lists interesting. They also were interested in the differences between arrays and linked lists, as well as the efficiency of arrays."
"Students still seem to be having trouble with recursion , now in the context of backtracking . Most of the backtracking confusions were centered on the actual code implementation of the algorithm described . Some did n't seem entirely convinced of the usefulness of recursion outside of logic puzzle examples . A couple students wondered at the runtime efficiency of the recursive solution .",In this lecture students mostly found recursion and backtracking interesting. They also found iterative solutions and the diagonal algorithm for the 8 queens problem interesting.
"The interest was pretty varied this lecture . Most students were interested in algorithm analysis and a program 's efficiency . Many were intrigued by threads , but did n't think that they would have the chance to learn about them yet . Some compared binary and sequential searches . There was still some interest in lists and their methods .","In this lecture, students were interested in the efficiency of binary search, the runtimes, and the algorithm analysis. They also enjoyed learning about the vector class and its legacy methods."
"The vast majority of the students found the discussion of bags most interesting . Those who went into specifics mentioned their flexibility and usefulness , as well as the nuances of their implementation .","In this lecture, students enjoyed learning about ADTs, the implementation of an array, and the dynamic bag. They also found the examples and drawings interesting."
"Many students were confused about the implementation of certain linked bag methods , especially the method for removing an element . A few others were not sure when they would want to use a linked bag in their code . Finally , some students were confused about how node classes are implemented within the larger bag class .","In this lecture, the students mostly had trouble understanding the differences between linked lists and linked bags. They also had trouble with the Node class and its implementation. In addition, they had some trouble with parameterized types with object oriented nodes."
The most common response was that the students were not sure how an algorithm 's operating time function can be derived . Other common responses included getting lost in the math and confusion over which runtime analysis methods were best .,"In this lecture, the students mostly had trouble understanding the concepts related to run-time, the derivations of the functions, and the use of the big-O notation. They also had trouble with the amortized time, and modifying the function to increase efficiency."
"Most of the students found something related to linked bags most interesting this lecture . Specifically , some students mentioned the methods used for adding/removing elements from a linked bag and the differences between linked bags and lists .","In this lecture, students found the concept of the linked list interesting, as well as the methods used to modify the linked bag. They also found the ` resizable'array and the private inner class interesting."
"The students were mainly focused on runtime problems -LRB- average/worst case -RRB- , and comparing different data structures with Big O notation , like Alist and Llist . A few had their interest piqued by the start of recursion . Others talked about specifics of the math behind deriving runtimes .","In this lecture, students enjoyed learning about the difference in runtime between Alist and Llist. They also enjoyed the concepts of recursion, the derivations of the Big-O concept, and the use of linked lists."
Many students are a bit confused about iterators and tree traversals . Others are struggling with runtime analysis and how to use a stack .,"In this lecture, students mostly had trouble with the use of the stack, iterators, and binary search trees. Some students also had trouble understanding the differences between inorder and inorder recursion."
"Most of the students enjoyed learning about linked lists , especially how they are implemented and how they compare to array-based structures . Some mentioned more specifically that the concept of nodes was very interesting .","In this lecture, students found the concept of linked lists interesting. They also were interested in the differences between arrays and linked lists, as well as the efficiency of arrays."
"Most of the students found complete Vs full trees and the uses of a tree as confusing . Some others had problems with finding the height of the tree , implementing a tree and editing them efficiently .",In this lecture students had trouble understanding the difference between a full tree and a complete tree. They also had trouble with the binary tree and the summation algorithm.
"Many students reported confusion over the implementations of the new sorting algorithms . A few others are still struggling to analyze algorithm efficiency . Finally , one student wondered when they should use each sorting algorithm .","In this lecture students had trouble with merge sort, shell sort, and the run-time of the algorithms. They also had trouble understanding the difference between the two subarrays in the merge sort."
"The class seemed interested by the comparison between linked lists , and the new linked bag idea . They talked about the modification methods for collections of nodes , such as adding and removing nodes , and some mentioned that it is easier to add nodes to the front rather than the end . A couple students mentioned the desire to keep some things in a class private .","In this lecture, students found the concept of the linked list interesting, as well as the methods used to modify the linked bag. They also found the ` resizable'array and the private inner class interesting."
Most of the class voted for 8 queens problem as interesting . Some others stated backtracking and recursion as interesting -LRB- which are used in 8 queens problem -RRB- .,"In this lecture, students enjoyed learning about the 8 queens problem, the concept of backtracking, and recursion. They also enjoyed solving the N-Queens problem, and the examples given by Professor Ramirez."
