oracle,generated_summary
Most of the students had problems with the implementation of quick sort and merge sort . Some students had problems with pivot and runtime of the algorithms .,"Most students had trouble with the implementation of the algorithms. They also had some trouble understanding the run-time of mergesort, the power of different pivots, and the QoTDs."
"Students seems still new to the idea of trees , as well as iterators . Trees seemed to bring up general confusions with following references , to traverse and link together structures . Few students had no confusions . Some asked about the potential uses of trees in practice .","Most students didn't understand the purpose of binary trees or the specific uses of them. They also struggled with the use of iterators, and how to set up nodes with multiple references. Some of them would like to see more examples of what the uses of trees are."
"Students were interested by the Towers of Hanoi problem and the recursive form of its solution . They noted the backtracking technique used to implement the recursion , and some were surprised by how short the solution was . A couple students liked the word search problem .",Most students found the towers of Hanoi and the recursion interesting. The rest of the students found backtracking and the word search interesting as well.
"Many students could not figure out when to use recursion over iteration . Some others had problems with stacks , sequential search recursion and tracing the recursion .","The students mostly had trouble with recursion. They also had some trouble understanding when to use it over iteration, and when to go over more complex examples. Some of them also had trouble understanding the mindset of the problem set."
"Most students found binary trees and structure of trees as interesting . Some others liked recursive traversal , iterators and adjacency trees .","In this lecture, students enjoyed learning about binary trees, tree structures, and the implementation of them. They also liked learning about the various types of trees and finding the height of the tree."
Some students had problems with the implementation of backtracking and recursion . Some others had problems with tracing backtracking and tower of Hanoi .,"The students mostly had trouble with the implementation of backtracking and the 8 queens problem. They also had some trouble with assignment 3, the binary recursion, and the power functions."
Almost all the students enjoyed the algorithm for determining the height of binary trees . A few others also mentioned binary trees and trees in general .,"Most students found binary trees the most interesting data structure of the day. They also enjoyed recursion, finding the height of a tree, and implementing trees in java."
"The students were interested in applying the divide and conquer method to recursive methods . They noted the comparison of efficiency between different recursive techniques , and cited specific examples of using recursion , such as in the computation of powers and in binary search .","In this lecture students enjoyed learning about the efficiency of the divide and conquer method. They also liked learning about general recursion, the power function, the number of multiplications each method yields, and the run-times of each method."
"Students mentioned binary trees , and binary search trees in particular . They noted that they talked about recursive traversal methods .","Most of the students found Binary Search Trees, the different ways to traverse the tree, and the packages interesting. Some students also found Recursion in Binary Trees and the various ways to group together various classes interesting."
"Many students were n't confused by anything in particular . The confusions that arose were mostly on the backtracking techniques used in the solution of the towers of hanoi and 8 queens problems . Some students were unsure of how they would implement the solution , and otheres were unsure of how to trace the solution they were given .","The students mostly had trouble with the implementation of backtracking. They also had some trouble with assignment 3, the 8 queens problem, and recursion in general."
"Almost all the responses had something to do with algorithm efficiency . Some students enjoyed the math , others the introduction of Big O notation , and others the practicing of analyzing algorithm efficiency in general .","The students enjoyed learning about the different types of efficiency for various operations, as well as the math behind them. They also liked learning about run-times, algorithms testing, and the derivation of the big O notation."
