oracle,generated_summary
"During this lecture , the students mostly found retaking the exam in general or finding out what they did wrong interesting . They also were interested in learning about flowcharts and various loops in MATLAB . Last , a few students found nothing interesting .","Most of the students enjoyed learning about how to use flow charts, and how they can be used to determine the validity of a pipe. Some others liked learning about the team exam, and the exam retake. A few others liked using the if-else statement to understand what went wrong on the exam."
"During this lecture , students found milestone 3 , the exam review , and milestone 2 challenging . Some of them also struggled with ps11b and creating flowcharts .","Most of the students had trouble with Milestone 2, especially the review of the exam, as well as finding any, all, and any and all functions. Some students also had problems with the flow chart review and finding the answer to the find command."
"Students found switching from Matlab to excel and creating regressions interesting . They also were enjoyed calculating the R ^ 2 , SSE , & SST values and creating trend lines .","Most of the students found using Excel to calculate R ^ 2, SSE, and SST as interesting. Some others liked using the two-point method to calculate regression, finding the best fit of a graph, and finding the relationship between the R^ 2 value and the SSE value."
"The students found linearizing data and function discovery interesting . They also found general functions , paired programming , or nothing at all interesting .","Most of the students found the concept of linearizing data and finding general forms of the power equation as interesting. They also liked learning how to invert graphs in Matlab, and how to plot logarithmic scales. Some of them also liked finding the general form of a power equation, and finding the best representation of the data."
"Mostly , students struggled with certain aspects of flowcharts , parts of the exam , or nothing at all during this lecture . Few found the problem set and if/else statements challenging .","Most of the students had trouble with the PS09 exam. Some of them had trouble understanding the concepts related to flowcharts, especially the use of if and else statements. Some others had problems with the problem set and finding the correct values for variables in the flowchart. A few students also had issues with the paired problem set."
"Mostly , students found the exam review very interesting . They also enjoyed working on milestone 2 , reviewing nested loops , and completing the final problem set .","Most of the students found the exam review helpful. Some of them also liked learning about the difference between while loops and for loops, and the differences between any and all functions. A few others liked working on M2 and PS11b in class."
"A majority of the students found nothing challenging . Others thought that using equations to solve for the regression , understanding SSE and SST , and using the least squares method was challenging . A few also struggled with Part B.","Most of the students had no issues with this lecture. Some students had trouble with the equations used to calculate SSE and SST, as well as finding the R-squared value of SSE, and the equations to be used to solve the problem set. A few students had problems with finding the best trend line, and a few had trouble understanding the equations for the regression model. A couple students were confused about using the least-squares method."
"Most of the students found creating regressions in matlab , translating regressions from excel to matlab , and creating bestfit lines in matlab to be the most interesting part of lecture . They were also interested in the polyfit and polyval commands as well as SSE and SST values in matlab .","Most of the students found using matlab to calculate regression and best fit lines as interesting. Some others liked using the polyval and polyval functions to calculate the SSE, SST, and r-squared value, and finding the best fit line."
"Most students struggled with user defined functions , understanding the problems set , and the inputs and output of a function . Others did n't struggle with anything , or struggled with combining the UDF","Most of the students had trouble with user defined functions, especially the problem set of PS05. They had trouble understanding how to create and use UDF's, as well as how to use them. Some of them also had problems with the implementation of variables in the UDF, and how to set up multiple inputs and outputs. A few others had issues with the test questions."
"Most of the students were n't confused about anything . Some found being able to understand the other teams project and giving good feedback challenging . Others struggled with milestone 5 , applying feedback to their project , and fully understanding all of the details of the technical brief .","Most of the students had no issues. Some students had trouble with understanding the steps involved in the review of other people's technical briefs, and how to use the feedback provided by other groups. A few students had problems with the question regarding the error in the process, and some with the length of the technical brief. Some others had trouble understanding the directions in the Milestone 5."
