oracle,generated_summary
"During this lecture , the students mostly found retaking the exam in general or finding out what they did wrong interesting . They also were interested in learning about flowcharts and various loops in MATLAB . Last , a few students found nothing interesting .","Most of the students enjoyed learning about how to use flow charts, and how they can be used to determine the validity of a pipe. Some of them also liked learning about the team exam, and the exam retake. A few others liked using the if-else statement to decide on a flowchart."
"During this lecture , students found milestone 3 , the exam review , and milestone 2 challenging . Some of them also struggled with ps11b and creating flowcharts .","Most of the students had trouble with Milestone 2, especially the review of the exam, as well as finding any, all, and any and all functions. Some others had problems with the flow chart review, and the implementation of the find command."
"Students found switching from Matlab to excel and creating regressions interesting . They also were enjoyed calculating the R ^ 2 , SSE , & SST values and creating trend lines .","Most of the students found using Excel to calculate the R ^ 2 value as interesting. Some of them also liked using the two-point method to calculate SSE and SST, and the concepts of r ^ 2, SSE, SST and Rsquared. A few others liked finding the best fit of a graph and finding the slope of the graph."
"The students found linearizing data and function discovery interesting . They also found general functions , paired programming , or nothing at all interesting .","Most of the students found the concept of linearizing data and finding general forms of the power equation as interesting. They also liked learning how to invert graphs, and how to plot logarithmic scales. Some of them liked using MATLAB to find the general form of a power equation, and finding the best representation of the data."
"Mostly , students struggled with certain aspects of flowcharts , parts of the exam , or nothing at all during this lecture . Few found the problem set and if/else statements challenging .","Most of the students had trouble with the PS09 exam. Some of them had trouble understanding the concepts related to flowcharts, especially the use of if and else statements. Some others had problems with the problem set and problem set questions from PS09. A few students were confused about the timing of the exam, and how to create a flowchart."
"Mostly , students found the exam review very interesting . They also enjoyed working on milestone 2 , reviewing nested loops , and completing the final problem set .","Most of the students found the exam review helpful. Some of them also liked learning about the difference between while loops and for loops, and how to decide when to use them. A few others liked the PS11b and M2, and the fact that the exam was done in class."
"A majority of the students found nothing challenging . Others thought that using equations to solve for the regression , understanding SSE and SST , and using the least squares method was challenging . A few also struggled with Part B.","Most of the students had no issues with this lecture. Some students had trouble with the equations used to calculate SSE and SST, as well as finding the R-squared value of SSE, and finding the difference between SST and SSE. A few students had problems with the equation for the best trend line, and the equations to be used to solve the problem set. A couple students also had trouble understanding the derivation of the equations, and how to"
"Most of the students found creating regressions in matlab , translating regressions from excel to matlab , and creating bestfit lines in matlab to be the most interesting part of lecture . They were also interested in the polyfit and polyval commands as well as SSE and SST values in matlab .","Most of the students found using matlab to calculate regression and best fit lines as interesting. Some others liked using the polyval and polyval functions to calculate the SSE, SST, and SST/SSE, and finding the best fit line."
"Most students struggled with user defined functions , understanding the problems set , and the inputs and output of a function . Others did n't struggle with anything , or struggled with combining the UDF","Most of the students had trouble with the concepts related to user defined functions, especially the problem set and how to create and use them. Some others had problems with the implementation of the UDF's. Some of them had trouble understanding the differences between user defined and generic functions, and the difference between hardcoding UDFs and generic code. A few students also had issues with the PS05 problem set."
"Most of the students were n't confused about anything . Some found being able to understand the other teams project and giving good feedback challenging . Others struggled with milestone 5 , applying feedback to their project , and fully understanding all of the details of the technical brief .","Most of the students had no issues. Some of them had trouble with understanding the steps involved in the review of other people's technical briefs, as well as how to use the feedback provided by other groups. A few students had problems with the question regarding the error in the process, and some with the length of the technical brief. Some others had trouble understanding the directions in the milestone 5."
