oracle,generated_summary
"During this lecture , the students mostly found retaking the exam in general or finding out what they did wrong interesting . They also were interested in learning about flowcharts and various loops in MATLAB . Last , a few students found nothing interesting .","Most of the students enjoyed learning from their mistakes and understanding what they did wrong in the exam. Some others enjoyed learning how to use flow charts in matlab code and understanding how they relate to mathlab code. Some students also enjoyed learning about the team exam and understanding the concepts used in it. Some other students enjoyed understanding the SAE values, understanding how to calculate the Reynolds number, and learning about how to translate flow charts into Matlab."
"During this lecture , students found milestone 3 , the exam review , and milestone 2 challenging . Some of them also struggled with ps11b and creating flowcharts .","Most of the students were confused by the concepts of the M3 and M2. Some others had problems with the review of the exam and the complex flow chart. Some students also had trouble with finding any, all, and complex loops, and the find command."
"Students found switching from Matlab to excel and creating regressions interesting . They also were enjoyed calculating the R ^ 2 , SSE , & SST values and creating trend lines .","Most of the students enjoyed learning how to use excel to calculate the SSE, SST, and R-squared, as well as SSE and SST. They also enjoyed learning about the concepts of regression and how it can be used to create a best fit line using excel. Some students also enjoyed using the 2-point method and learning about how to find the equations used to find lines of best fit. Some other students liked learning about using the system of equations"
"The students found linearizing data and function discovery interesting . They also found general functions , paired programming , or nothing at all interesting .","Most of the students found the most interesting part of the class to be learning how to linearize data and finding general functions of power functions. They also found the concept of linearization and finding the general form of the power equation as interesting. Some students also enjoyed learning about how to find the best representation of the data, and how to use MATlab to create graphs."
"Mostly , students struggled with certain aspects of flowcharts , parts of the exam , or nothing at all during this lecture . Few found the problem set and if/else statements challenging .","Most of the students had trouble with the flow charts, especially the flowchart on PS09 and PS08. Some students also had problems with error testing and understanding how to use if and else statements. Some others had trouble understanding the paired proramming assignment questions and the problem set questions."
"Mostly , students found the exam review very interesting . They also enjoyed working on milestone 2 , reviewing nested loops , and completing the final problem set .",Most of the students found the exam review and review of M2 and PS11b as most interesting. Some other students enjoyed learning about nested loops and the difference between while loops and for loops. Some students also found the review of exam 2 and exam 3 as interesting.
"A majority of the students found nothing challenging . Others thought that using equations to solve for the regression , understanding SSE and SST , and using the least squares method was challenging . A few also struggled with Part B.","Most of the students had trouble understanding the equations used in this lecture. Some of the most confusing concepts were finding SSE and SST values, finding the equations to be used to solve the problem set, and understanding the difference between SSE & SST. Some students also had problems with the equations for the regression and finding the SSE/SST values. Some had problems understanding how to use the least squares method and calculating the equations by hand."
"Most of the students found creating regressions in matlab , translating regressions from excel to matlab , and creating bestfit lines in matlab to be the most interesting part of lecture . They were also interested in the polyfit and polyval commands as well as SSE and SST values in matlab .","Most of the students enjoyed learning how to use matlab and matlab to calculate regression lines, as well as the polyval and polyfit commands. Some others enjoyed learning about the SSE, SST, and R-squared, and finding the best fit line using matlab. Some students also found the paired programming and paired programming as interesting."
"Most students struggled with user defined functions , understanding the problems set , and the inputs and output of a function . Others did n't struggle with anything , or struggled with combining the UDF",Most of the students had trouble understanding how to use UDFD's and user defined functions. Some had trouble with the problem set questions and how to set up multiple UDFs. Some students also had problems with the UDF files and the problems set in general. Some of the most confusing things were the problems sets and how they were used.
"Most of the students were n't confused about anything . Some found being able to understand the other teams project and giving good feedback challenging . Others struggled with milestone 5 , applying feedback to their project , and fully understanding all of the details of the technical brief .","Most of the students had trouble understanding the concept of the milestone 5, as well as understanding how to use other groups's technical briefs. Some students also had problems understanding the questions on the technical brief, and how to apply the feedback to other groups. Students also had trouble with the peer review, and some of the directions in the Milestone 5 were unclear."
