oracle,generated_summary
"During this lecture , the students mostly found retaking the exam in general or finding out what they did wrong interesting . They also were interested in learning about flowcharts and various loops in MATLAB . Last , a few students found nothing interesting .","Most of the students enjoyed learning about how to use a flowchart. Some others liked the exam retake, learning about the effects of an outlier on the r ^ 2 value, and working with a team to complete the exam."
"During this lecture , students found milestone 3 , the exam review , and milestone 2 challenging . Some of them also struggled with ps11b and creating flowcharts .","Most of the students had problems with the review of the exam. Some students had trouble with finding any, all, and complex flow charts. A few students had issues with the implementation of the matrix index and finding the array."
"Students found switching from Matlab to excel and creating regressions interesting . They also were enjoyed calculating the R ^ 2 , SSE , & SST values and creating trend lines .","Most of the students enjoyed learning about regression. Some others liked using excel to calculate r ^ 2, SSE, and SST, and the 2-point method for determining the best fit of a graph."
"The students found linearizing data and function discovery interesting . They also found general functions , paired programming , or nothing at all interesting .","Most of the students enjoyed learning about how to linearize data, and how to use MATLAB to do so. Some others liked the concept of function discovery, paired programming, and using logarithms to plot log scales."
"Mostly , students struggled with certain aspects of flowcharts , parts of the exam , or nothing at all during this lecture . Few found the problem set and if/else statements challenging .","Most of the students had trouble with the PS09 exam. Some students had problems with creating flowcharts, interpreting if statements, and determining the sst value of a variable. A few students had no issues."
"Mostly , students found the exam review very interesting . They also enjoyed working on milestone 2 , reviewing nested loops , and completing the final problem set .","Most of the students found the exam review for exam 3 as helpful. Some others found the difference between while loops and for loops as helpful, and others found modifying M2 and PS11b to be helpful."
"A majority of the students found nothing challenging . Others thought that using equations to solve for the regression , understanding SSE and SST , and using the least squares method was challenging . A few also struggled with Part B.","Most of the students found calculating SSE and SST values as confusing. Some others had problems with the equations used to calculate the least squares method, and the application of the equations to problem sets. A few students had trouble with finding the best trend line."
"Most of the students found creating regressions in matlab , translating regressions from excel to matlab , and creating bestfit lines in matlab to be the most interesting part of lecture . They were also interested in the polyfit and polyval commands as well as SSE and SST values in matlab .","Most of the students enjoyed using matlab to calculate regression lines. Some others enjoyed learning about the polyval and polyfit commands, and others the examples of SST, SSE, and SST."
"Most students struggled with user defined functions , understanding the problems set , and the inputs and output of a function . Others did n't struggle with anything , or struggled with combining the UDF","Most of the students had trouble with user defined functions. Some had problems with creating and using UDFs, and others with the PS05 problem set. A few students had issues with the implementation of functions, and a few had no issues."
"Most of the students were n't confused about anything . Some found being able to understand the other teams project and giving good feedback challenging . Others struggled with milestone 5 , applying feedback to their project , and fully understanding all of the details of the technical brief .","Most of the confusion in this lecture was related to Milestone 5. Some of the students had trouble understanding how to use other people's technical briefs, and how to apply the feedback. A few students were confused about the error in the process, and a few others had no issues."
"The students enjoyed learning about milestone 3 and receiving their milestone 2 feedback . They also were interested in learning about regressions , group work , and the research study professor Hynes discussed in class .",Most of the students found Milestone 3 and feedback for M2 as interesting. Some others liked working with large data sets and regression plots. A few students also liked the job opportunity offered for the summer and the feedback on M2.
"The students found linearizing data and using logs/logarithmic scales to be the most interesting part of lecture . Next , they found function discovery , handwriting graphs , and the commands for linearization equally interesting .","Most of the students enjoyed learning about how to linearize data, using logarithms, and using matlab to plot graphs. Some others liked function discovery, finding the best fit for a data set, and plotting on paper."
"Most of the students specifically found plotting scatter plots and the plot function interesting . Next , a lot of students found importing data and partner programming interesting . Alternatively , a fewer amount of students enjoyed graphing in general and the new experiences gain/skills learned .",Most of the students found plotting plots and paired programming as interesting. Some others liked importing data and using matlab to format plots. A few others liked matrix math and the plot command in general.
"The students mostly did n't struggle with any part of this day 's lecture . Although , a few students thought that problem 3 , the shapes of flowcharts , logic statements and tables , and CPD plots were challenging .",Most of the students found problem 3 of the problem set as confusing. Some others were confused about the shapes of flow charts and how to use logic statements. A few others had problems with function discovery and finding the y axis of a graph.
"Mostly , students struggled with defining both the amount of bins and the bin width , others struggled with nothing , and a lot stuggled with histograms in general . Some students also struggled with the use of descriptive statistics or unclear instructions .",Most of the students had trouble with creating histograms. Some of them had problems with defining bin edges and number of bins. A few students had issues with interpreting the problem set questions and finding the correct histogram command.
"In this short lecture , students found user defined functions , the exam review , and paired programming interesting .","Most of the students found the use of user defined functions and the exam review as interesting. Some others liked paired programming, UDF and matric operations."
"During this lecture , students were interested in complex loops , milestone 2 , and nesting within loops . They also enjoyed starting the problem set and the code of cooperation .","Most of the students enjoyed learning about complex loops, especially how they can be used to create vectors. Some others enjoyed working on the code of cooperation, and others liked learning about how to use a for loop in a matrix."
"A majority of the students said that they found paired programming to be the most interesting part of this lecture . Additionally , they found manipulating matrices in Matlab and the new commands they learned interesting as well . Last , a couple students enjoyed coding in general .","Most of the students found paired programming and matrix manipulation as most interesting. Some others liked using matlab functions to manipulate matrices, and others liked learning how to code in pairs. A few students liked using the driver and navigator roles."
The students mostly found miles stone 2 and the problem set challenging . They also struggled creating the complex loops and understanding the project . Some also found nothing difficult .,"Most of the students had trouble with problem set 11 and problem set 2. Some others had problems with complex loops, finding parameters for thermocouple data, and finding tau."
"A lot of the students struggled with the new functions `` sum '' and `` ones '' . A comparable amount also struggles with the Matrix manipulation functions and commands . Next , some were confused about how to code with partners . A lot of them did n't know what the word `` concatenation '' meant . Last , some were confused about absolutely nothing at all and found everything to be clear .","Most of the students had trouble with the `` sum '' functions, especially the `` ones '' function. Some of them had problems with array indexing, and others with the assignment of vectors to a pair."
"In this lecture , the students found the cumulative distribution plot , UDF , and histograms most interesting . They also found the linear regressions and function discovery an interesting part of classes .","Most of the students found CDP plots and user defined functions as confusing. Some others found Linear Regression, Histogram plots, and the process of creating a CDP as confusing concepts."
"The students struggled with understanding for loops , completing the problem set , and understanding the final project . They also found while loops and milestone 1 challenging .","Most of the students had trouble with the PS10 Problem set. Some students had problems with the for loops, and others with the timing of the project. A few students had no issues."
"The students found user defined functions and functions in general to be the most challenging . Additionally , they struggled with the problem set , inputs and outputs , and the uses of nino .","Most of the students had trouble with the use of user defined functions, especially the first part of problem set # 4. Some others had problems with the implementation of functions and how to manipulate them."
"Primarily , the students found retaking the exam and creating UDFs to be the most interesting part of lecture . They also enjoyed compiling small functions into a large function , creating complicated equations , and pair programming .","Most of the students found creating and using user defined functions in MATLAB as interesting. Some others liked the group exam, reviewing the exam, and learning how to use UDFs."
"A majority of the students did n't find anything confusing . Some were still struggling with the details of M4 , the grading of M3 , writing the technical brief , or creating regression lines .","Most of the students had no issues. However, a few students had trouble with the technical brief for M4, regression, and the grading of milestone 3."
