reflections,oracle,concepts,generated_summary_beam1,generated_summary_beam2,generated_summary_beam3,generated_summary_beam4,generated_summary_beam5
"Nothing Everything is clear p value Arbitrary selection of samples Nothing confusing i get everypoint Mr. Baydogan xD example in 2nd lecture Nothing Nothing Nothing text statistics method Last example step 3 p value Finding the critical value Nothing confusing Everything was very clear . further explanation is not needed . x star value Distributions in the hypothesis testing . Type 1 Error çok kafa karıştırıcı bir şey olduğunu düşünmüyorum , sadece biraz daha çalışıp konseptleri oturtmam lazım Nothing Nothing Nothing nothing Nothing was confusing or needed more detail everything was clear thanks to mr baydogan nothing confusing in today 's lecture Nothing much Rejecting hypothesis according to confidence interval Test statistic Examples needed null hypothesis and h1 P value approach Determining c value Nothing was confusing Everything was crystal clear today . No need for extra clarification every point was clear Is there any significant difference between p-value approximation and test statistics approach ? Guess second is the transformed form of the first one , into standard normal . @extractive","Around 50 % of students found everything clear . The remaining students respectively had trouble with P value approach , test statistics approach , critical value approach and Hull hypothesis & H1 .","['confidence interval', 'significant difference', 'null hypothesis', 'hypothesis test', 'transformed form', 'hypothesis testing', 'test statistic']","Most students had no problems with this lecture. Some students had trouble with p value, hypothesis testing, and determining the critical value of the C value. A few students had problems with null hypothesis and test statistics.","Most students found nothing confusing in this lecture. Some students had problems with p values, hypothesis testing, and the test statistics approach. A few students had trouble with type 1 error and finding critical values.","In this lecture students had trouble with p values, hypothesis testing, and determining the critical value of a value. They also had problems with null hypothesis and the test statistics approach.","In this lecture students had trouble with p values, hypothesis testing, and determining the critical value of a value. They also had problems with null hypothesis and the test statistics approach.","In this lecture students had trouble with p values, hypothesis testing, and determining the critical value of a value. They also had problems with null hypothesis and test statistics."
Type 2 error Everything is clear Quiz speed test on population variance and difference of means Nothing confusing since the professor revised the last lecture which made us understand it well Nothing was muddy Nothing problem session 2nd question Nothing nothing Determining reject and fail to reject regions ps questions were interesting Nothing Nothing rejecting h0 without regarding p value Everything is clear problem session and questions Nothing 3rd question in ps Nothing p value and details about it Nothing everything was clear Nothing was confusing nothing needed more detail The paired t-test t distribution test and dof calculation Nothing type 2 error Nothing Nothing was confusing everything was clear . No need for explanation for anything required every point was clear Less things again @extractive,"Almost 2/3 of students had no issues . A few had trouble with the PS questions . A couple students struggled with paired t-test and Type II error , and one student did n't fully understand the test on population variance .",['population variance'],"Most students found nothing confusing. Some students had problems with the problem session, type 2 error, and the 3rd question in the ps.","Most students found nothing confusing. Most of the students found the problem session and questions interesting. Some others found type 2 error, paired t-test, and the p value interesting.","Most students found nothing confusing. Some students had problems with the problem session, type 2 error, and the paired t-test. A few students had trouble with the 3rd question in ps.","In this lecture students had trouble with type 2 error, the paired t-test, and the 3rd question in the problem set. They also had trouble understanding the ps questions and the p value.","In this lecture students had trouble with type 2 error, the paired t-test, and the 3rd question in the problem set. They also had trouble understanding the ps questions and the p value."
Graphical representations showing low/high bias and variance Graphic represantation F distribution graph reading Quality control Bias of an estimator Graphical representation of bias and variance F table interpretation f distribution Point estimate nothing Comparing means of samples Bias Bias Comparing means of two samples Estimation problems estimates four graphics about estimators Nothing Nothing estimating population Graphical representation estimaters Bias Sample estimation Estimators variance estimation F distribution Estimator quality bias bias Nothing estimation qualities Variance Estimation none F distribution estimating population bias Bias graphical demonstration that is used to interpret the variance and bias The bias comparison Point estimate and bias Bias - unbiased bias of an estimator f tables Bias of an estimator F and t distribution 's review Bias f distribution Sample estimation @extractive,"Most of students found topics concerning estimation question , estimator and bias interesting . Some students were interested in graphical representation and F distribution . Several students also mentioned variance and comparing means of samples .","['variance estimation', 'bias comparison']","In this lecture students enjoyed learning about the bias of an estimator, the F distribution, and the sample estimation problem. They also enjoyed the graphical representations of the F and T distributions, and comparing means of samples to mean.","In this lecture students enjoyed learning about bias, the F distribution, sample estimation, and the F table. They also enjoyed the graphical representations of bias and variance, and comparing means of samples.","In this lecture students enjoyed learning about the bias of an estimator, the F distribution, sample estimation, and the point estimate. They also enjoyed the graphical representation of the F and t distributions, and comparing means of samples to samples.","In this lecture students enjoyed learning about the bias of an estimator, the F distribution, sample estimation, and the point estimate. They also enjoyed the graphical representations of the F and t distributions, and comparing means of samples.","In this lecture students enjoyed learning about the bias of an estimator, the F distribution, sample estimation, and the point estimate. They also enjoyed the graphical representation of the F and t distributions, and comparing means of samples."
"Nothing Bias vs variability Project parts Mean square Mean square error Nothing everythig was clear Nothing last week 's bias iterations Nothing Nothing mean square error Nothing mean square error equation Nothing F distribution bias and unbiased quality control Mean square error nothing nothing was confusing mean Square error the things we are expected to do in project Nothing Sampling distribution mean square error + bias nothing is confusing maybe except r Nothing Point of estimate bias and unbiased The homework nothing Nothing was confusing or needed more detail last example about graphical repsentation that shows more bias or mse respectively and which one is prefered ? Which parameter is unbiased or not Nothing Nothing new . So everything is ok which method is more reliable , mean square or bias Nothing The bias formula Nothing Everything is okey estimation of bernoulli variables Everything was clear nothing was confusing We did n't cover any new topic in today 's lecture . @extractive","Around 47 % of students though everything was clear . Students found Mean Square Error and Bias concepts mostly confusing . Several students also had trouble with project parts , distribution and estimation of variables .","['quality control', 'square error', 'distribution bias']","Most students had no problems with this lecture. Some students had trouble with the Mean Square Error equation, the bias formula, or the homework assignment. Some others had trouble understanding the sampling distribution, and the point of estimate.","Most students had no problems with this lecture. Some students had trouble with the Mean Square Error equation, the bias formula, and the sampling distribution. A few students had problems with the homework assignments.","Most students had no problems with this lecture. Some students had trouble with Mean Square Error, the bias formula, and the homework assignment. A few students had problems with sampling distribution and the F distribution.","In this lecture students had trouble with the mean square error equation, the sampling distribution, and the bias formula. They also had trouble understanding the homework assignments.","In this lecture students had trouble with the mean square error equation, the sampling distribution, and the bias formula. They also had trouble understanding the homework assignments."
"Nothing i need more example about confidence interval Nothing example , 0,278 . no confusing point Hypothesis Testing İnterpreting the probability Nothing Nothing type 1 error Need mıre example on CI Null hypotesis hypothesis testing nothing Nothing difference between h0 and h1 what happens if both null hypothesis and alternative hypothesis are proven unlikely ? More examples Nothing is confusing Ps fourth question nothing was confusing Everything was clear we will solve more example @extractive","Around half number of students found everything clear . Some students mentioned they need more examples about confidence interval , hypothesis testing . One student had trouble with interpreting probability , while another student was confused about the difference between H0 and H1 .","['confidence interval', 'null hypothesis', 'hypothesis test', 'hypothesis testing']","Most students had no problems with hypothesis testing, and most of them had no confusion. Some students had problems with confidence intervals, type 1 error, null hypothesis testing and the difference between h0 and h1.","Most students had no problems. Some students had problems with confidence intervals, null hypothesis testing, and type 1 error. A few students had trouble with Hypothesis Testing and the difference between h0 and h1.","Most students had no problems with hypothesis testing. Some students had problems with confidence intervals, type 1 error, null hypothesis testing, and the difference between h0 and h1.","In this lecture students mostly had problems with hypothesis testing, confidence intervals, and null hypothesis testing. Some students had trouble with type 1 error and the difference between h0 and h1.","In this lecture students mostly had problems with hypothesis testing, confidence intervals, and null hypothesis testing. A few students had trouble with type 1 error and the difference between h0 and h1."
Distribution of sample variance Chi - Squared Distribution Chi square Chi-square Chi square distribution chi square Chi square image processing chi square distribution Chi square and degree of freedom Chi distribution Example question in the lecture where we applied chi-squared distribution anything Chi chi-square chi square nothing Finishing the last lectures equation chi square Quiz questions chi square Chi square application of chi distribution Ps was nice Chi square example chi square distribution Chi-square distribute R.V. Chi square Chi square and reading it from table None Chi-square Chi square 's definition and the special case 's proof @extractive,"3/4 of students found chi-square distribution the most interesting . A couple of students did n't enjoy anything , and one student each liked distribution of sample variance , quiz questions , and image processing .","['chi distribution', 'chi square distribution', 'distribution chi square', 'chi square', 'sample variance']","Students enjoyed learning about the chi-squared distribution, and the examples used to illustrate it. They also enjoyed learning more about the distribution of sample variance, and how it relates to degrees of freedom.","Students enjoyed learning about the chi-squared distribution, and the examples used to illustrate it. They also enjoyed the quiz questions and the special case proof.","In this lecture students enjoyed learning about the distribution of chi-squared distributions, especially the chi-square distribution. They also enjoyed the examples used to illustrate the distribution, and the quiz questions.","In this lecture students enjoyed learning about the distribution of chi-squared distributions, especially the chi-square distribution. They also enjoyed the examples used to illustrate the distribution, and learning about degrees of freedom.","In this lecture students enjoyed learning about the distribution of chi-squared distributions, especially the chi-square distribution. They also enjoyed the examples used to illustrate the distribution, and learning about degrees of freedom."
P value approach in review Example having two critical values P value Different approaches for hypothesis testing Different approaches for hypothesis testing rejecting h0 was clear to understand confidence interval for rejection none of them The example finding c values using sampling distributions of mean The example that we solved text statistics method Nothing type 2 error 2 midterm chapters and content Failing to reject H0 Review p value and c value Example about hypothesis testing The question about hypothesis testing . H0 and H1 tekrar iyi oldu Nothing H1 when it 's not equal Hypothesis testing as a concept p value P value levels of significance of p values p value approach Two sided hypotheses Review about type I error and p - value approach Finding c value P value type one error Critical value approach P approach Finding C and P value p value and c value approaches were the interesting parts of the lecture today . rest were ok different comparison types for rejecting H0 Deeper explanation of test statistics @extractive,"Most of students were interested in Hypothesis testing as a whole , including concepts , examples and different approaches , especially P Value Approach and C Value Approach . Some students also found rejecting Null Hypothesis and type 1 and 2 error interesting .","['confidence interval', 'sampling distribution', 'hypothesis test', 'hypothesis testing', 'test statistic']","Most students found the topic of hypothesis testing and rejecting H0 as interesting. Some others enjoyed the examples of finding C and P values, type I error, and the examples used to illustrate the different approaches to hypothesis testing.","Most students found the topic of hypothesis testing and rejecting H0 as interesting. Some others liked finding C values, type I error, and the examples used to illustrate the various approaches to hypothesis testing.","Most students found the topic of hypothesis testing and rejecting H0 as interesting. Some others liked finding C and P values, type I error, and the example of finding c values using sampling distributions of mean.","Most students found the topic of hypothesis testing and rejecting H0 as interesting. Some others liked the examples of finding C and P values, type I error, and critical value approaches to hypothesis testing.","Most students found the topic of hypothesis testing and rejecting H0 as interesting. Some others liked finding C and P values, type I error, and the example of finding c values using sampling distributions of mean."
"Nothing i need more example about confidence interval Nothing example , 0,278 . no confusing point Hypothesis Testing İnterpreting the probability Nothing Nothing type 1 error Need mıre example on CI Null hypotesis hypothesis testing nothing Nothing difference between h0 and h1 what happens if both null hypothesis and alternative hypothesis are proven unlikely ? More examples Nothing is confusing Ps fourth question nothing was confusing Everything was clear we will solve more example @extractive","A little under half of students had no issues . A few students wanted more examples in general , or help with concepts related to H0 and H1 . A couple students reported wanting more examples related to confidence intervals , or having trouble with hypothesis testing .","['confidence interval', 'null hypothesis', 'hypothesis test', 'hypothesis testing']","Most students had no problems with hypothesis testing, and most of them had no confusion. Some students had problems with confidence intervals, type 1 error, null hypothesis testing and the difference between h0 and h1.","Most students had no problems. Some students had problems with confidence intervals, null hypothesis testing, and type 1 error. A few students had trouble with Hypothesis Testing and the difference between h0 and h1.","Most students had no problems with hypothesis testing. Some students had problems with confidence intervals, type 1 error, null hypothesis testing, and the difference between h0 and h1.","In this lecture students mostly had problems with hypothesis testing, confidence intervals, and null hypothesis testing. Some students had trouble with type 1 error and the difference between h0 and h1.","In this lecture students mostly had problems with hypothesis testing, confidence intervals, and null hypothesis testing. A few students had trouble with type 1 error and the difference between h0 and h1."
"Regression Regression i get the concept of regression Linear model Regression Least squares Regression Regression Linear regression algebra Regression regression conceptualization first part Regression regression representation of categorical and ordinal variables as numeric variables regression was interesting I understood regression . I know how it 's used in real life . Nothing Graphical approach of simple regression -LRB- showing the effect of normal distribution even though the board is 2D -RRB- linear regression 2MT questions alpha - value , p value , power Regression on least square approach I learn something about regression . Regression Regression regression and applications least square error and parameters of regression Notjing regression ... . regression and intro of error in it consept of regression Regression linear regression and details everything was clear how practical regression analysis can be . Regression least squares method Regression Regression Least square I really tried hard to check our R project but could not find anyone although I had sent an e-mail asking my questions . When it comes to objection time , our interpretations and assumptions all rejected in a way and beside saying ` there was no need to pay much attention your projects ' good looking issues '' . . Second , how can I get the issues just before PS time added questions , directly diving into them and solving fast ? I really insist on my objections on our project . Yours Sincerely . . least square approach The types of variables that affect a random variable Least squares approach Methods of Regression linear regression was very interesting today least square approach The logic behind regression @extractive",Over 2/3 of students reported liking regression . A handful enjoyed the least-squares approach . A couple of students liked concepts related to variables or nothing at all . One student found the 2MT questions to be interesting .,"['square approach', 'real life', 'random variable', 'objection time', 'linear regression', 'simple regression', 'square error', 'normal distribution']","Most students found regression and least squares approach interesting. Some others liked linear regression, alpha and beta, and the effects of normal distributions on regression.","Most students found regression and least squares approach interesting. Some others liked linear regression, alpha and beta values, and the effects of normal distributions on regression.","Most students found regression and least squares approach as interesting. Some others liked alpha and beta values, linear regression, and the effects of normal distributions on variables.","Most of the students found regression and least squares approach as interesting. Some others liked linear regression, alpha and beta values, and the effects of normal distributions on regression.","Most of the students found regression and least squares approach as interesting. Some others liked linear regression, alpha and beta, and the effects of normal distributions on regression."
"Msr and mse Analysis of variance B1 variable calculations Analysis of variance Nothing Nothing confidence interval for beta Nothing motive of anova Expectation of beta1 regression and ss Nothing B0 B1 anova detailed information Beta and b calcu Regression and applications nothing confused me Nothing Relationship between SSR , SSE , SST although from previous lecture b0 and b1 anova Anova table Betas and B and their difference everything was clear Degrees of freedom parameters nothing confusing or needed more detail Nothing expected value calculation in regression B0 and b1 getting f distribution from t2 Choosing the right estimator for beta 1 gibi gibi kim dedi belli Confidence interval for B1 Beta and B calculations everything was clear no need for extra detail b and beta will be confused B0 B1 beta 1 beta 2 @extractive","Students mostly had trouble with Beta and B calculations including Confidence Interval of Beta1 . Around 28 % of responses said everything is clear . Some students also were confused with ANOVA detailed information , Calculation in Regression and F Distribution .","['confidence interval', 'detailed information', 'previous lecture', 'extra detail']","Most students had no problems with Beta and B1, and the use of anova. Some students had problems with regression, confidence intervals, and Msr and MSE.","Most students had no problems with Beta and B1, but a few students had trouble with anova tables, regression, and confidence intervals for beta1.","Most students had no problems with Beta and B1, but a few students had trouble with anova tables, regression, and confidence intervals for beta1.","Most students had no problems with Beta and B1, but a few students had trouble with regression, anova tables, and confidence intervals for beta1.","In this lecture students mostly had trouble with Beta and B1, as well as regression and anova. A few students had problems with Msr, SSE, SST, and confidence intervals."
