oracle,generated_summary
Most students had trouble with regression and goodness of fit testing . Most of the other students had no trouble except for a few that were confused about the ps problems and felt the pace of the class was too fast .,"Most of the students found nothing confusing. Some students had trouble with the concepts of regression, goodness of fit, and chi square test. A few students also had trouble understanding the assumptions of the PS hour."
"Students mostly had trouble with understanding what SST , SSE , and SSR were and what the differences between them were . They also still had some trouble with regression . A few students had trouble with Poisson distributions and beta .","Most of the students found SSE, SSR, SST, Poisson, and SSE concepts clear. Some students had trouble with regression, and a few students had problems with Poisson Relationship and SST. A few students also had trouble in understanding the difference between SSE and SR."
"Most students found type 2 error useful , and that the instructor repeated some topics . Hypothesis testing was a second favorite , and others mentioned F distribution , the relationship between alpha and beta , and general examples are being helpful .","Most of the students found Type 2 Error and F Distribution interesting. Some others found confidence interval, Alpha and Beta relation between alpha and beta, and chi square interesting. A few students also found variance, F Distribution, and problem with F Distribution as interesting."
"Of the students that were confused , the vast majority had trouble with the very last part of the lecture regarding confidence intervals and the lower bound for the interval . There was some minor confusion regarding the P , C values and type 1 , type 2 error .","Most of the students found confidence intervals and lower bound confusing. Some students also had trouble with confidence level, significance level, and the last part of lecture."
"Most students vaguely mentioned `` the last topic in class '' was the most confusing subject . Specific mentions include pooled variance , test on two means for small n , various tests on two samples , and the one and two tailed test in general .","Most of the students found nothing confusing. Some students had trouble with the last part of the lecture, especially the last one. Some others had trouble in the last section of the class, and a couple students had problems with the pooled variance."
"Most students found topics related to hypothesis testing most interesting , in particular the type 1 error , and the alternatives to hypothesis testing . Many also found the P value interesting .","Most of the students found P-value and alternative methods of hypothesis testing interesting. Some others enjoyed Type 1 error, C-value, and critical point and significance level."
"Several plots were very helpful to visualize , including the box plot , histogram , and normal probability , in order of helpfulness . Many students emphasized that seeing the graphs and seeing some applications was good for understanding .",Most of the students found boxplots and box-whisker diagrams interesting. Some others found histograms and normal probability plots interesting.
"Students either had problems with type 2 error , power of the test , or determining the correct region to test on a graph . The rest of the students had no problems .",Most of the students found Type 2 Error and Type 1 Error clear. Some students also had trouble with Power of the Probability and the region of power of the test. A few students also struggled with Hocam and Hsj.
"Students seemed to like using rstudio to calculate R , and creating graphics and seeing applications -LRB- such as stock values -RRB- for R . They liked the practice problems , and would have liked more of them .","Most of the students found R programming, graphs, and PS questions interesting. Some others found R graphics, R code, and the problem session interesting."
"The recitation was a good time to learn about the many useful features of R , and how to use them , e.g. , plotting data sets and finding the mean and median . The questions in the problem set were well-organized to this end . The application to stock prices was a helpful demonstration .","Most of the students found R programming, graphs, and PS questions interesting. Some others found R graphics, R code, and the problem session interesting."
Most students found the Q-Q plot interesting . Simulating random variables and comparing experiment to theory was also a helpful exercise .,"Most of the students found Q-Q plots and the concepts of sampling distribution and normal distribution interesting. Some others found the relation between mean and median, scatterplot and normal probability plot interesting."
"Most students found the effects of the sample size interesting , closely followed by various error calculations -LRB- alpha , beta , confidence interval , and type 1,2 errors -RRB- , the power a test , and one - and two-tailed intervals . A smaller group found computing beta helpful .",Most of the students found sample size computation for power and beta teta relationship interesting. Some students also found Type I and II error tests interesting. A few students also enjoyed the two tailed test and the calculation of error.
"During this lecture students had trouble with point estimates , interval estimates , estimators , understanding the difference between theta and theta hat , and the mean square error proof .","Most of the students found point estimators and bias confusing. Some others had trouble with interval estimation, T-values, mean square error, and the theorem regarding to point estimator."
"Of the students that were confused , most of them were confused about type 2 error . The rest were confused about hypothesis testing in general , the critical value and P value , and the power of the test .",Most of the students found Type 2 Error and Type 1 Error clear. Some students also had trouble with Power of the Probability and the region of power of the test. A few students also struggled with Hocam and Hsj.
"Most students had trouble with topics related to the F distribution . There were also general questions regarding the parameter estimation and hypothesis testing . Minor questions included box plot outliers , the lognormal , and confusing or incorrect solutions to review problems .","Most students found the questions challenging. Some students had trouble with F Distribution, Lognormal Lognorm, and the Problem of Confidence. Some others had trouble finding the critical value and the interval for probabilities."
"This lecture , students had trouble with understanding and finding means and medians , understanding sampling distribution , and reading the graphs . Some students also had trouble with x-bar . A large number of students -LRB- 21 -RRB- had no problems .","Most of the students found nothing confusing. Some students struggled with sampling distribution of mean, the relation between mean and median, and the X-bar distribution. Some others had trouble with the standard normal distribution and the graphs."
"There were two main sources of confusion : the derivation of the chi-squared distribution , and the explanation of the sample variance distribution . A minority found the theorems and proofs hard to understand and follow .","Most of the students found everything clear. Some students had trouble with chi-squared distribution, sampling distribution of sample variance, and the last part of the lecture. Some others had trouble in understanding normal approximation to binomial distribution."
"Most students found the hypothesis testing the most interesting example , along with error bounding and rejection of the null hypothesis . The students found the guilt analogy very helpful , as well as the examples used to introduce the main ideas .",Most of the students found hypothesis testing and the examples interesting. Some others found the concept of Error Bound ` C'and the Hypothesis Testing Hypothethesis test interesting. A few students also found the Hypocrisy Test and the PS questions interesting.
"Most students had trouble with ps questions . Otherwise , confusion was scattered . Of those confused , F distribution was a trouble point , along with type 2 error and finding the confidence interval .","Most of the students found the PS questions and problem challenging. Some students also struggled with F Distribution, Type II Error, and confidence intervals. Some others had trouble with Alfa and Beta relations."
"In this lecture , students enjoyed interval estimations , finding confidence intervals and upper and lower bounds , and using one-sided intervals . Students liked the examples given in class .","Most of the students found interval estimation and confidence intervals interesting. Some students also found the example of the one-sided interval and the two-sided intervals interesting, and the transformation logic of interval estimation interesting."
Most students liked using the chi square distribution to determine goodness of fit . Several others also liked hypothesis testing on multiple samples and the multinomial distribution . A few others liked simulations and paired observations,"Approximately 30 % of students found the chi square goodness of fit test interesting. A handful of students also found the paired experiments interesting. Finally, a few students found multinomial distribution and variance interesting."
"The bias of an estimator and possible causes was a popular topic . Point estimation , interval estimation , and mean square error were almost as popular .",Most of the students found interval estimation and point estimation interesting. Some others found bias and variance estimators interesting. A few students also found sampling from population and MSE interesting.
"In this class , students had trouble with confidence intervals , finding lower bounds , and whatever was taught at the very end of class . Students also had some problems with pvalue and critical values .","Most of the students found confidence intervals and lower bound confusing. Some students also had trouble with confidence level, significance level, and the last part of lecture."
"Students were confused during the practice session and would like more detail . They had trouble understanding point estimates , and how to use rstudio . Students were also confused what the differences between capital and lowercase X values represented . Some did not understand what confidence intervals were acceptable .","Most of the students found the point estimate and the problem session as confusing. Some others had problems with R code, the problem sessions, and the lecture. Some students also had problems in the lecture, and some with the R studio."
"In this lecture students enjoyed learning about Type 1 error , P-values , Alternate steps for hypothesis testing , rejecting the null hypothesis , and the steps to hypothesis testing .","Most of the students found P-value and alternative methods of hypothesis testing interesting. Some others enjoyed Type 1 error, C-value, and critical point and significance level."
"Most students found that having problems in preparation for the exam along with solutions was very helpful . Among topics , the log normal and the F distribution were the most popular , followed by the confidence interval and population mean/variance .","Most of the students found lognormal and PS interesting. Some others found F Distribution, Variance of Variance, and Chi Squared Confidence Interval interesting. A few students also found the study set questions and the problem of the day interesting."
"In this lecture students were very interested in point estimates . They were also happy that they received explanations for their homework problems . Students thought the `` target '' example of point estimates was interesting , and also enjoyed learning about the concept of an estimator .",Most of the students found the homework and point estimate interesting. Some others found the R homework and the concepts of estimators and the problem that we discussed last lecture interesting.
