oracle,generated_summary
Most students had trouble with regression and goodness of fit testing . Most of the other students had no trouble except for a few that were confused about the ps problems and felt the pace of the class was too fast .,"Most of students found everything clear in this lecture. Some students had trouble with concepts relating to regression, goodness of fit tests, assumptions on regression, and Chi-squared test statistic. A few students also mentioned the fact that xi's not being a random variable was confusing."
"Students mostly had trouble with understanding what SST , SSE , and SSR were and what the differences between them were . They also still had some trouble with regression . A few students had trouble with Poisson distributions and beta .","Most of the students found SSR, SST, SSE, and SSE as confusing. Some others had problems with regression, Poisson relationship, and nothing. A few students also had trouble with the concepts of similar square difference formulas and the sum of squares."
"Most students found type 2 error useful , and that the instructor repeated some topics . Hypothesis testing was a second favorite , and others mentioned F distribution , the relationship between alpha and beta , and general examples are being helpful .","Most of students found Type 2 Error mostly interesting. Some students also were interested in Hypothesis Testing on F Distribution, Confidence Interval on Sigma and Application of Type I and II error principles."
"Of the students that were confused , the vast majority had trouble with the very last part of the lecture regarding confidence intervals and the lower bound for the interval . There was some minor confusion regarding the P , C values and type 1 , type 2 error .","Almost half of students had no issues. A handful struggled with confidence intervals, the lower bound, the last part of the lecture, the example and finding the significance level. A few students had trouble with finding the confidence interval, comparing p and c, and the last example."
"Most students vaguely mentioned `` the last topic in class '' was the most confusing subject . Specific mentions include pooled variance , test on two means for small n , various tests on two samples , and the one and two tailed test in general .","60 % of students found everything clear. The remaining students had trouble with the test on two means, the last part of the course, pooled variance, and computations in beta and alpha. Some students also had problems with the summary, one tail test, and one tailored test."
"Most students found topics related to hypothesis testing most interesting , in particular the type 1 error , and the alternatives to hypothesis testing . Many also found the P value interesting .","Most of students found P value, alternative methods of hypothesis testing and type 1 error mostly interesting. Some students also found critical point and significance level comparison of c and a with the p value interesting. A few students were interested in the steps to reject the hypotheses."
"Several plots were very helpful to visualize , including the box plot , histogram , and normal probability , in order of helpfulness . Many students emphasized that seeing the graphs and seeing some applications was good for understanding .","Most of students found box-whisker plot and histogram concept interesting. Some others found graphs in general or nothing at all interesting. A few students liked normal probability plots, pie charts and powerpoint slides."
"Students either had problems with type 2 error , power of the test , or determining the correct region to test on a graph . The rest of the students had no problems .","60 % of students found everything clear. The remaining students had trouble with Type 2 Error, Power of the Test, Confidence interval from both sides, and determining which region of the test to check for H1. A few students also found nothing clear."
"Students seemed to like using rstudio to calculate R , and creating graphics and seeing applications -LRB- such as stock values -RRB- for R . They liked the practice problems , and would have liked more of them .","Most of the students found learning about R programming and graphs in general to be the most interesting part of lecture. They also enjoyed learning about normal distribution questions, understanding R-programming in general, and the detailed explanation of Rstudio. Some students also found plotting in R and importing data from Excel or Txt files to be interesting."
"The recitation was a good time to learn about the many useful features of R , and how to use them , e.g. , plotting data sets and finding the mean and median . The questions in the problem set were well-organized to this end . The application to stock prices was a helpful demonstration .","Most of the students found learning about R programming and graphs in general to be the most interesting part of lecture. They also enjoyed learning about normal distribution questions, understanding R-programming in general, and the detailed explanation of Rstudio. Some students also found plotting in R and importing data from Excel or Txt files to be interesting."
Most students found the Q-Q plot interesting . Simulating random variables and comparing experiment to theory was also a helpful exercise .,"Most of the students enjoyed comparing Samples and distributions in Q-Q plots, especially the difference between the mean and median, and the concepts of sampling distribution, normal distribution and normal probability plot. Some students also found empirical mean, median and standard deviation, standard deviation and scatterplots to be interesting."
"Most students found the effects of the sample size interesting , closely followed by various error calculations -LRB- alpha , beta , confidence interval , and type 1,2 errors -RRB- , the power a test , and one - and two-tailed intervals . A smaller group found computing beta helpful .","60 % of students found sample size computation for power and the relation between sample size and power very interesting. The remaining students were interested in confidence intervals, one-tailed and two-tailed tests, power of test and variance of difference of two means. A handful of students also found beta in general or nothing interesting."
"During this lecture students had trouble with point estimates , interval estimates , estimators , understanding the difference between theta and theta hat , and the mean square error proof .","Most of the students found everything clear, except for the last part of the lecture on point estimators. Some students had trouble with Interval Estimation, Mean Square Error, Difference between T-values and Q-values, Bias and Variance, Population Estimation and Estimation of Mean Source Error."
"Of the students that were confused , most of them were confused about type 2 error . The rest were confused about hypothesis testing in general , the critical value and P value , and the power of the test .","60 % of students found everything clear. The remaining students had trouble with Type 2 Error, Power of the Test, Confidence interval from both sides, and determining which region of the test to check for H1. A few students also found nothing clear."
"Most students had trouble with topics related to the F distribution . There were also general questions regarding the parameter estimation and hypothesis testing . Minor questions included box plot outliers , the lognormal , and confusing or incorrect solutions to review problems .","Most students struggled with F Distribution Questions, Interval for Probabilities, Plotting of quantiles, and Central Limit Theorem. Some students also struggled with Problems that are solved in the study set, and the problems that are not solved."
"This lecture , students had trouble with understanding and finding means and medians , understanding sampling distribution , and reading the graphs . Some students also had trouble with x-bar . A large number of students -LRB- 21 -RRB- had no problems .","Most of the students found everything clear. Some students struggled with sampling distribution of mean, understanding distribution of medians, understanding graphs, and interaction between statistics and sample distributions. A few students had trouble with X-bar distribution, and the fact that the projector didn't work."
"There were two main sources of confusion : the derivation of the chi-squared distribution , and the explanation of the sample variance distribution . A minority found the theorems and proofs hard to understand and follow .","Most of students found everything clear. Some students had trouble with chi-squared distributions, Sampling Distribution of Sample Variance, Normal approximation to Binomial Distribution, Proof of chi-square, and Degrees of Freedom are the most common confusions."
"Most students found the hypothesis testing the most interesting example , along with error bounding and rejection of the null hypothesis . The students found the guilt analogy very helpful , as well as the examples used to introduce the main ideas .","Most of the students found hypothesis testing and critical value for error as interesting. Some others found the concept of the error boundary and the guilt analogy in hypothesis testing to be interesting. A few students liked H0 and H1, the examples and the exam question."
"Most students had trouble with ps questions . Otherwise , confusion was scattered . Of those confused , F distribution was a trouble point , along with type 2 error and finding the confidence interval .","Almost half of students had no issues. A handful struggled with F Distribution, PS questions, Type 2 Error, and Hypothesis in F Distribution. A few students didn't fully understand F Distribution or the concepts of reject and fail concepts."
"In this lecture , students enjoyed interval estimations , finding confidence intervals and upper and lower bounds , and using one-sided intervals . Students liked the examples given in class .","Most of students found interval estimation and confidence intervals as interesting. Some students were interested in finding the upper and lower bounds of the confidence intervals, the distribution problem and the example of the first homework. A few students also found the distribution of mean differences, standard interval and one-sided interval estimation, transformation logic and the deeper part of r-programming interesting."
Most students liked using the chi square distribution to determine goodness of fit . Several others also liked hypothesis testing on multiple samples and the multinomial distribution . A few others liked simulations and paired observations,"A little under 1/3 of students enjoyed the chi-square test. A handful enjoyed the goodness of the fit test, and a few enjoyed the simulation. A few students found comparing multiple samples and the multinormal distribution interesting. A couple students didn't enjoy anything."
"The bias of an estimator and possible causes was a popular topic . Point estimation , interval estimation , and mean square error were almost as popular .","Most of the students found interval estimation, point estimation, bias and variance bias interesting. Some of them also found mean square error and MSE derivation interesting. A few students didn't find anything interesting."
"In this class , students had trouble with confidence intervals , finding lower bounds , and whatever was taught at the very end of class . Students also had some problems with pvalue and critical values .","Almost half of students had no issues. A handful struggled with confidence intervals, the lower bound, the last part of the lecture, the example and finding the significance level. A few students had trouble with finding the confidence interval, comparing p and c, and the last example."
"Students were confused during the practice session and would like more detail . They had trouble understanding point estimates , and how to use rstudio . Students were also confused what the differences between capital and lowercase X values represented . Some did not understand what confidence intervals were acceptable .","Most of the students struggled with R-programming, point estimates, sample estimation, and the problem session. Some of them didn't understand the difference between capital and small and small X-bar, and a lot of them struggled with nothing at all. A few students thought the hour-and-a-half lecture was not enough, and that they need to go back and go over everything again on Friday."
"In this lecture students enjoyed learning about Type 1 error , P-values , Alternate steps for hypothesis testing , rejecting the null hypothesis , and the steps to hypothesis testing .","Most of students found P value, alternative methods of hypothesis testing and type 1 error mostly interesting. Some students also found critical point and significance level comparison of c and a with the p value interesting. A few students were interested in the steps to reject the hypotheses."
"Most students found that having problems in preparation for the exam along with solutions was very helpful . Among topics , the log normal and the F distribution were the most popular , followed by the confidence interval and population mean/variance .","Most of students found lognormal, study set questions, and exam questions to be the most interesting part of lecture. Some students also found t distribution, boxplot graphs, and calculating probabilities interesting."
"In this lecture students were very interested in point estimates . They were also happy that they received explanations for their homework problems . Students thought the `` target '' example of point estimates was interesting , and also enjoyed learning about the concept of an estimator .",Most of the students found the homework and point estimate to be the most interesting part of lecture. Some others found the R part of the lecture to be interesting and the concepts of estimators and samples as interesting.
"Most students had trouble understanding why the normal probability was plotted , and in particular how it relates to the histogram . A smaller group had trouble understanding box and whisker plots and relating the mean to the median .","Most of the students found everything clear. Some of them had trouble with the box-and-whisker plot, normal probability plot, finding the mean, median, and finding the quartiles. A few students had problems with histograms, understanding the purpose of boxplots, and the instructor's numerical examples."
"Students mostly found Regression and Kaggle.com interesting . Some also found Derivations , Beta1 and Beta0 , and SSR and SST interesting .","Most of students found regression mostly interesting. Some students also were interested in derivation of linear regressions, finding error and drawing fx = y line. A few students also found TAB and the examples of food processing firm and crowd-sourcing interesting."
"The interval estimation was the most interesting topic of the day , with the confidence interval a close second . Students found it helpful to see examples of each distribution , in particular transforming equations to standard normal .","Most of students found interval estimation and confidence intervals as interesting. Some students were interested in finding limits of estimations from normal and standard intervals. A few students also found distribution of mean differences, transformation logic and the example of the first homework interesting."
"It was helpful to see the relationships between the various distributions , and concrete examples of each . In particular , the explanation for the chi-squared distribution was particularly good , as was the derivation of the central limit theorem .","Most of the students found Central Limit Theorem, normal approximation to binomial distributions, sampling distribution of variance, and chocolates to be the most interesting part of lecture. Some students also found chi-squared distribution, understanding sample variance, application of central limit theorem, and understanding of normal distributions interesting."
"Students found interval estimates and learning about bias the most interesting . Many students also found point estimates interesting . A few students liked using the Mean Square Error , and a few liked using theta .",Most of the students found interval estimation and point estimation as interesting. Some of them also found bias and mean square error interesting. A few students were interested in the effect of bias on research projects and how to overcome it.
In this lecture the majority of students had problems working with multidimensional distributions and using chisquare for goodness of fit . A lot of students had no problems . A few students had other problems such as using paired observations or understanding the use of simulations .,Most of students were confused about chi square distribution and the goodness of fit test. Some students also had problems with multidimensional distribution and understanding the application of simulation concepts.
"Most students found regression and multiple linear regression interesting , followed by ANOVA , and the relationship between the F distribution and regression .","60 % of students found Multiple Linear Regression mostly interesting. The remaining students also were interested in ANOVA and F Distribution, Assumption Analysis, Residual Analysis and Confidence intervals on B1 and MSE."
"Students had problems with the chi-square analysis , determining normal/binomial distributions , and sample variance . A surprisingly large amount of students had no problems this lecture . One student had trouble with the central limit theorem .","Most of students found everything clear. Some students had trouble with chi-squared distributions, Sampling Distribution of Sample Variance, Normal approximation to Binomial Distribution, Proof of chi-square, and Degrees of Freedom are the most common confusions."
"Very few students had trouble with the day 's lesson . Of the students that had trouble , most mentioned pooled variance , and paired observations . A smaller portion mentioned the degree of freedom formula was hard to understand , and another portion felt more examples were needed .","Most of the students found everything clear. A few had trouble with paired observations, approximation technique for pooled variance, examples of theories and the Welch formula. A couple students had problems with the questions and concepts from the previous lecture."
"Most students found the concept of the point estimator interesting , as well as the relevant examples . Answers to homework questions were very helpful .","Most of the students found the homework and point estimate as interesting. Some of them also found the R homework and the questions related to it to be interesting. A few students were interested in the central limit of the estimator, the distribution of distributions and the target example."
"In this lecture students mostly had problems with pooling variance , working with two samples , and whatever was taught in the last part of class . Some students had trouble with alpha/beta computations , but many had no issues .","60 % of students found everything clear. The remaining students had trouble with the test on two means, the last part of the course, pooled variance, and computations in beta and alpha. Some students also had problems with the summary, one tail test, and one tailored test."
"The source of small confusion was from the usage and derivation of the F distribution , the confidence level of variance , the chi square distribution , and how the degrees of freedom were found in the F distribution .","60 % of students found everything clear. The rest of students had some trouble with the F distribution, variance intervals, degrees of freedom, and the use of S-1-square and S-2-square in estimation."
"Students were interested in using chi-square distributions , the central limit theorem , reading tables , and calculating degrees of freedom . Students seemed to like the `` Cheesecake '' problem .","Most of the students enjoyed learning about chi-square distribution, understanding the derivation of the distribution and central limit theorem. Some of them also found reading tables and box plot questions interesting. A few students found sample variance and the question with cheesecakes interesting."
"In this lecture , students liked learning about how sample size effected the power of the test , working with two tailed problems , relationships with the beta value , finding sample size , and the summary of tests they can use .","60 % of students found sample size computation for power and the relation between sample size and power very interesting. The remaining students were interested in confidence intervals, one-tailed and two-tailed tests, power of test and variance of difference of two means. A handful of students also found beta in general or nothing interesting."
"Most students found the distribution of beta1 along with its mean and variance interesting , as well as topics related to SSE , SST , and SSR . Students also found regression a good topic .","Over half of students enjoyed either SSE, SSR, or SST, and the distribution of beta-1. A handful were interested in regression, and a few noted the statistical inferences made by B0 and B1. In addition, a couple of students also found the relationship between SST and SSR and regression interesting."
"In this lecture , students enjoyed having graphical depictions of the different types of distributions , and learning about Q-Q Plots . They also enjoyed the simulation , learning how median and mean change depending on the type of distribution , and Empirical vs Theoretical means and medians .","Most of the students enjoyed comparing Samples and distributions in Q-Q plots, especially the difference between the mean and median, and the concepts of sampling distribution, normal distribution and normal probability plot. Some students also found empirical mean, median and standard deviation, standard deviation and scatterplots to be interesting."
"An overwhelming majority of students found type 2 error interesting . The rest found type 1 error , confidence intervals , p values , and different methods for hypothesis testing interesting .","Most of the students found Type 2 Error mostly interesting. Some other students were interested in different ways of testing Hypothesis, P value, Confidence Interval and power of the test. A few students also found Type 1 Error, Cheat sheet and beta number interesting."
"In this lecture students were interested with type 2 error , the relationships between alpha and beta , using F distributions , hypothesis testing on variance , and confidence intervals .","Most of students found Type 2 Error mostly interesting. Some students also were interested in Hypothesis Testing on F Distribution, Confidence Interval on Sigma and Application of Type I and II error principles."
"In this lecture students mostly had trouble with the Normal Probability plots and the Box plots . They also had some trouble understanding histograms , finding means and medians , and finding quartiles .","Most of the students found everything clear. Some of them had trouble with the box-and-whisker plot, normal probability plot, finding the mean, median, and finding the quartiles. Others had problems with histograms, understanding the purpose of the plots, and the instructor."
"Most had no confusion . Any existing confusion was related to the chi squard and normal distributions . Many students had specific questions about problems in the problem sets , e.g. , box and whisker plots , and some commented that the pace is too slow .","Most of the students found everything clear, except the derivation of chi-square distribution and the questions relating to normal distributions. Some students also had problems with histograms, box-plots and normal probability plots. A few students had trouble with the quiz questions, especially the cheesecake question."
In this lecture students mostly had issues with regression and the goodness of fit test with chi square . Two students had trouble with the practice session . A lot of the students had no problems .,"Most of students found everything clear in this lecture. Some students had trouble with concepts relating to regression, goodness of fit tests, assumptions on regression, and Chi-squared test statistic. A few students also mentioned the fact that xi's not being a random variable was confusing."
"In this lecture students mostly enjoyed using Chisquare to test goodness of fit . Students also liked working with 2 samples , multinomial distributions , simulations , and paired experiemnts .","A little under 1/3 of students enjoyed the chi-square test. A handful enjoyed the goodness of the fit test, and a few enjoyed the simulation. A few students found comparing multiple samples and the multinormal distribution interesting. A couple students didn't enjoy anything."
