reflections,oracle,concepts,generated_summary_beam1,generated_summary_beam2,generated_summary_beam3,generated_summary_beam4,generated_summary_beam5
"Nothing for today it was clear regression Goodness of fit test regression analyses confused me a little bit but since it was only introduction it is normal Regression Chivsquare goodness of fit none for now goodness test Maybe the last question of ps Goodness of fit tests , what is bin None Ps hour was hard to follow Regression Chi square test statistic The lesson was generally fast , so it was a little confusing regression topic everything was clear Assumptions on regression Nothing fit test regression regression Nothing Nothing regression regression The fact that xi 's not being a random variable was confusing none today @extractive",Most students had trouble with regression and goodness of fit testing . Most of the other students had no trouble except for a few that were confused about the ps problems and felt the pace of the class was too fast .,"['random variable', 'regression regression', 'test statistic', 'fit test']","Most of the students found nothing confusing. Some students had trouble with the concepts of regression, goodness of fit, and chi square test. A few students also had trouble understanding the assumptions of the PS hour.","Most of the students had no issues with the lecture. Some students had trouble with regression, and a few others had problems with the goodness of fit test. A few students also had trouble understanding the PS questions. A couple students also struggled with chi square test and the assumption on regression.","Most of the students had no issues with the lecture. A few students had trouble with regression, and a few students struggled with the goodness of fit test. A couple students also had problems with chi square test and the assumption on regression. Some students also struggled with PS.","Most of the students had no issues with the lecture. A few students had trouble with the concepts of regression and goodness of fit. A couple students had problems with Chi Square test, and a couple with Assumption on Regression.","Most of the students had no issues with the lecture. A few students had trouble with regression, especially the goodness of fit test. A couple students also struggled with Chi Square test, and one student had problems with Assumption on Regression."
"Lots of definitions sst beta head and beta ssr-sst Regression sum of squares Nothing Some description such as ssr sst sse Poisson ~ Chi Square Ssr sse sst SSR , SST ssr and sst Poisson Relationship Last huge formula regression none for today R ^ 2 Difference between SSE and SSR Regression SSE AND SST SSR at the end of the lecture , there were too many definitions . ssr sst etc. nothing Regression Nothing SSR regression SSE , SSR , coefficient of determination Formulations of regression lines were difficult differences between similar square difference formulas SSI computation of regression Everything was clear None @extractive","Students mostly had trouble with understanding what SST , SSE , and SSR were and what the differences between them were . They also still had some trouble with regression . A few students had trouble with Poisson distributions and beta .",[],"Most of the students found SSE, SSR, SST, Poisson, and SSE concepts clear. Some students had trouble with regression, and a few students had problems with Poisson Relationship and SST. A few students also had trouble in understanding the difference between SSE and SR.","Most of the students found SSE, SSR, SST, Poisson, and SSE concepts clear. Some students had trouble with regression, and a few students had problems with Poisson Relationship and Poisson ~ Chi Square. A few students also struggled with SSE and SST.","Most of the students found SSE, SSR, SST, Poisson, and Poisson Relationship as confusing. Some students also had trouble with regression, SSE and SST. A few students also struggled with Poisson ~ Chi Square and SSE.","Most of the students found SSE, SSR, SST, Poisson, and Poisson Relationship as confusing. Some students also had trouble with regression, SSE and SST. A few students also struggled with Poisson relationship, and SSE/SSR.","Most of the students found SSE, SSR, SST, Poisson, and Poisson Relationship as confusing. Some students also struggled with regression, SSE and SST. A few students had trouble with Poisson ~ Chi Square and SSE."
"- type 2 error and relation between alpha and betha h1 s logic Use of transformed spaces Testing population variances with f distribution . When I studied it from book , i didnt understand but now i understood Hypothesis testing applying other distributions in hypothesis testin Solving the problem with f distribution . confidence interval Alpha and beta btw relations F distribution checking hypothesis hypothesis testing on f distribution there was nothing new in today 's class , we repeated things we did , which is interesting because i get it more Type 2 error Nothing applying what we learned to chi square type 2 error Summary at the beginning comparing variances using rejection method Type 2 error Nnnn Hypothesis testing on variance Type . 2 Type 2 error Actually , there was nothing interesting for me type 2 error area finding There were nothing to be labeled as interesting . examples at the end of lecture Confidence interval on sigma F distribution Standart deviation example type 2 hypothesis with variance type 2 error relation between alpha and beta nothing calculating type2 error Nothing type 2 error solving examples in detail type 1 error and type 2 error ABD example Type 2 error relationship between alpha and beta was very clear @extractive","Most students found type 2 error useful , and that the instructor repeated some topics . Hypothesis testing was a second favorite , and others mentioned F distribution , the relationship between alpha and beta , and general examples are being helpful .","['confidence interval', 'rejection method', 'chi square', 'hypothesis testing']","Most of the students found Type 2 Error and F Distribution interesting. Some others found confidence interval, Alpha and Beta relation between alpha and beta, and chi square interesting. A few students also found variance, F Distribution, and problem with F Distribution as interesting.","Most of the students found Type 2 Error mostly interesting. Some students also found F Distribution, Alpha and Beta relation between alpha and beta, and Type I and II error interesting. A few students also enjoyed comparing variances with F Distribution.","Most of the students found Type 2 Error mostly interesting. Some students also found F Distribution, Alpha and Beta relation between alpha and beta, and confidence interval interesting. A few students also enjoyed applying other distributions to the problem.","Most of the students found Type 2 Error mostly interesting. Some students also found F Distribution, Alpha and Beta relation between alpha and beta, and confidence interval interesting. A few students also enjoyed applying other distributions to the problem.","Most of the students found Type 2 Error mostly interesting. Some students also found F Distribution, Alpha and Beta relation between alpha and beta, and Type I and II error interesting. A few students also enjoyed comparing variances with F Distribution."
"Use of confidence intervals was incompleted last minutes of the lecture was a bit unclear where we use H1 calculating lower bound The example which was about lower bounds significance level was confusing , a or 1-a ? ? Nothing Confidence interval was a little bit confusing type 1 error Last part when m is lower than u I had troubles concentrating so p point What is z-alpha exactly ? Upper lower alfa the very last part of the lecture confidence level for hypothesis testing the last thing . confidence intervals finding confidence interval in hypothesis testing Significance level Last part Nothing I think today was pretty straightforward Lowerbound last part , using confidence interval Nothing Lower Bound Lower bound comparing p and c muddiest point was confidence interval method for hypothesis testing upper lower bound lower bound and confidence interval was confusing . The last part related to the ` confidential inteval ' caused some confusion Nothing confidence level Last thing we did -LRB- lower or upper bound confusion -RRB- Lower bound nothing P value using confidence interval in hypothesis testing decision of lower or upper bound for confidence interval last example and graphic all lecture Confidence Interval to perform hypothesis testing nothing Critical value and p value difference The last topic covering confidence intervals was confusing Finding the lower bound @extractive","Of the students that were confused , the vast majority had trouble with the very last part of the lecture regarding confidence intervals and the lower bound for the interval . There was some minor confusion regarding the P , C values and type 1 , type 2 error .","['confidence level', 'confidence interval', 'significance level', 'hypothesis testing']","Most of the students found confidence intervals and lower bound confusing. Some students also had trouble with confidence level, significance level, and the last part of lecture.","Most of the students found confidence intervals and lower bound confusing. Some students also had trouble with confidence level, significance level, and the last part of lecture. A few students also struggled with the last example, and finding confidence intervals.","Most of the students found confidence intervals and lower bound confusing. Some students also had trouble with confidence level, significance level, and the last part of lecture. A few students also struggled with the last example and finding confidence intervals.","Most of the students found confidence intervals, lower bound, and confidence interval confusing. Some students also had trouble with the last part of lecture. A few students also struggled with significance level, critical value, and p value.","Most of the students found confidence intervals, lower bound, and confidence interval confusing. Some students also had trouble with the last part of lecture. A few students also struggled with significance level and the last example."
"pooled variance last notations Test on two means when -LRB- N1 , n2 < = 30 -RRB- last thing we covered on class Why do we need a separate case for difference of means when the observations of two samples are not independent Pooling variance :-LRB- Nothing nothing Last part of the summary nothing was confusing Type 2 error mu plus detha none the last topic . pooled thing computations with Beta and teta value Test on two sample Nothing special Pooling Summary part Mean of Fail to reject pooled var . last part of the course nothing Nope Summary Two tail Last thing we did in the lecture . Sample variance of difference of two samples computations in beta and alpha were confusing test on two means when n is small One tailed , two tailed tests one two tailored test one Sided sample size computation Everything was clear @extractive","Most students vaguely mentioned `` the last topic in class '' was the most confusing subject . Specific mentions include pooled variance , test on two means for small n , various tests on two samples , and the one and two tailed test in general .","['tailed test', 'sample size', 'pooled variance']","Most of the students found nothing confusing. Some students had trouble with the last part of the lecture, especially the last one. Some others had trouble in the last section of the class, and a couple students had problems with the pooled variance.","Most of the students found nothing confusing. Some students had trouble with the last part of the lecture, especially the last one. A few students also struggled with test on two means, pooled variance, and Beta and Teta values.","Most of the students found nothing confusing. A few students had trouble with the last part of the lecture, especially the last one. Some students also had problems with test on two means and pooled variance. A couple students also struggled with Beta and Teta values.","Most of the students found nothing confusing. Some students had trouble with the last part of the lecture, especially the last one. A few students also had problems with pooled variance, test on two means, and two tail.","Most of the students found nothing confusing. A few students had trouble with the last part of the lecture, especially the last one. Some students also had problems with pooled variance, test on two means, and the two tail test."
"The blurry type 1 error was cleared type 1 error and confidience interval on error nothing comparing a with p value Your summary about two hypothesis testing methods Topic was the same as the one covered last week , so nothing . There are steps for type 1 error and we know when we can reject H0 hypothesis theory P value and hypothesis testing C value stuff The steps to try to reject the hypotheses Finding critical mean givn sample repeating type 1 error using different methods to determining the type 1 error was good . I like various ways while solving smt steps for hypothesis testing P value Hypothesis testing Alternative methods of hypothesis testing we can compare the probabilities and/or the value c with our sample result Pvalue was amazing Alternative method It was good lesson C value Rejecting hypothesis rejection region finding Today most interesting thing was trade off between type 1 and type 2 errors due to change in critical values type 1 error questions about type 1 error We learned different ways to comprehend ` fail to reject ' P value p value Nothing P value alternative hypothesis test Signifacance level critical point comparison of c amd p value was interesting alternative steps nearly nothing alternative steps for critical point and significance level type 1 error nothing Existence of an alternative solution by comparing the probabilities instead of the critical values P value @extractive","Most students found topics related to hypothesis testing most interesting , in particular the type 1 error , and the alternatives to hypothesis testing . Many also found the P value interesting .","['hypothesis theory', 'significance level', 'sample result', 'hypothesis testing', 'alternative solution']","Most of the students found P-value and alternative methods of hypothesis testing interesting. Some others enjoyed Type 1 error, C-value, and critical point and significance level.","Most of the students found P-value, C-value and alternative methods of hypothesis testing interesting. Some students also enjoyed Type 1 error, critical point and hypothesis testing.","Most of the students found P-value, C-value and alternative methods of hypothesis testing interesting. Some others liked Type 1 error, critical point and hypothesis testing. A few students also found rejection of H0 hypothesis theory interesting.","Most of the students found P-value, C-value and alternative methods of hypothesis testing interesting. Some others liked Type 1 error, critical point and hypothesis testing. A few students also found rejection of H0 hypothesis theory interesting.","Most of the students found P-value, C-value and alternative methods of hypothesis testing interesting. Some students also enjoyed Type 1 error, critical point and significance level, and rejecting H0 hypotheses."
"I think today 's class is not effective and instructive enough . the box and whisker diagram is interesting nothing it was interesting Applications of the graphs on their usage on real life empirical and theorotical normal graphs I found the boxplot interesting in today 's class Graph kinds were interesting Even though size are not equal to each other in boxplot , median is the half point Normal probability plot The graphical presentation of statistical data A concept such as whiskers was interesting , something I have never learned before . Pie charts Boxplots Normal probability plot 5 point upper and lower whiskey quantire points . Boxplot box plot we learned different kinds of graphication types we can use to identify the distributions Histogram concept because I ve always seen that but I did not know what it was exactly History diagram Nothing third quantile first quantile and upper/lower whisker and whether the mean is lower than median or not Box whisker plot Graphs comparing emprical and theoritical distributions Boxplot Chart applications histogram part because I heard histogram concept before but i did n't know what histogram is till today 's lecture . Colorful charts were interesting Most interneting thing was computation of upper and lower whisker points . it was the first time i saw boxplot so it was interesting for me . boxplot graphs There was n't ayn intresting information for me but I have learned some new graphical techniques like box plot . graphics Powerpoint slides graph slides Boxplot charts box and whisker diagram Histogram boxplot was interesting . Boxplot diagram was mostly interesting to me , it is the first time i 've seen it . graphical showing box-whisker method . it seems so simple but it can tell important things about the data . graphical techniques and using R Graphics about intervals similarity to pdf Seeing the data on the graphs are good for visualizing and a better understanding . Normality Testing @extractive","Several plots were very helpful to visualize , including the box plot , histogram , and normal probability , in order of helpfulness . Many students emphasized that seeing the graphs and seeing some applications was good for understanding .","['real life', 'graphical presentation', 'box plot', 'statistical data']",Most of the students found boxplots and box-whisker diagrams interesting. Some others found histograms and normal probability plots interesting.,Most of the students found boxplots and box-whisker diagrams interesting. Some students also found histograms and normal probability plots interesting.,Most of the students found boxplots and box-whisker diagrams interesting. Some others found histograms and normal probability plots interesting. A few students also found pie charts and color charts interesting.,Most of the students found boxplots and box-whisker diagrams interesting. Some others found histograms and normal probability plots interesting. A few students also found pie charts and colorful charts interesting.,Most of the students found boxplots and box-whisker diagrams interesting. Some others found histograms and normal probability plots interesting. A few students also found pie charts and colorful charts interesting.
"Test statistics type 2 error Following the steps Determining which region to check for h1 type 2 error Nothing nothing Nothing nothing Nothing much confusing Hocam morning classes are hard to concentrate , sorry . But this topic was easy so there was nothing confusinG Type 2 error everything was clear thank you very much :-RRB- there was no muddiest thing everthing was clear Type 2 error It needs more exercises Power of the probability the definition of power of the test nothing nothing nothing type 2 error and beta None graphical region of power of the test critical value type 1error confidence interval from both sides having 2 mean points in type 2 error confused me at first P value the questions about hypothesis testing when Calculate probability which Side should be Taken hsj Everything was clear Everything was cleared up today - do n't feel confused at this point . @extractive","Students either had problems with type 2 error , power of the test , or determining the correct region to test on a graph . The rest of the students had no problems .","['confidence interval', 'hypothesis testing', 'error confidence interval']",Most of the students found Type 2 Error and Type 1 Error clear. Some students also had trouble with Power of the Probability and the region of power of the test. A few students also struggled with Hocam and Hsj.,"Most of the students found Type 2 Error and Type 1 Error clear. A few students had trouble with Power of the Probability, Hocam, and the region of power of the test. A couple students had problems with confidence intervals, and one student had trouble determining which region to check for.","Most of the students found Type 2 Error and Type 1 Error clear. A few students had trouble with Power of the Probability, Hocam, and the region of power of the test. A couple students had problems with confidence intervals, and a couple students struggled with H0 and H1 error.","Most of the students found Type 2 Error and Type 1 Error clear. A few students had trouble with Power of the Probability, Hocam, and the region of power of the test. A couple students also had problems with confidence intervals and the questions about hypothesis testing.","Most of the students found Type 2 Error and Type 1 Error clear. A few students had trouble with Power of the Probability, Hocam, and the region of power of the test. A couple students also struggled with confidence intervals and the questions about hypothesis testing. Finally, a couple students had problems with H0 and H1 error."
"The ps questions about the approximation of a distribution will be quite beneficial for us , also the implementation of data in R is useful i couldnt quite learn r the last semester so learning it here is helpful reading data in r Make a result of collection of data , look like normal distribution R graphics learning how to calculate in R PS . I had a chance to understand the topics better What i am capable with r function Use of R to analyze stocks The 3rd ps question r detailed explanation of rstudio was useful it was good solvent questions in order to learn easily for me Learned how to solve normal distribution questions The question types which were solved in ps hours . I did not think that these questions can be created in lectures . Question types deleting data in R programming Plotting using R -LRB- This is a late evaluation -RRB- Ps was very clear . We got satisfying answers to questions . properties of r studio some new functions which are said to be beneficial in R studio . some r functions Graphical questions in the ps with ps I started to get a better view Most interesting thing was to learn that R is capable of many things like reading Excel or txt files . graphs in r are the most interesting thing The R program is not interesting for me Some R codes the graphics in R and importing data to R R tutorial was nice but in order to learn the program we should practice . Learning that R program can read data from excell was very interesting . R diagrams It was good seeing a bit more about R codes things we can do with r In the first part of class , we practised R programming , whuch was easy to understand . In the second part , we solved questions , which was helpful for us to remember our probability knowledge . the fact that we can compute smallest and largest means , medians when the exact values are unknown i Did n't understand average mean and geometric mean difference The problem session was clear and useful for our better understanding of the course topics Interesting to combine the R with statistics on stock values @extractive","Students seemed to like using rstudio to calculate R , and creating graphics and seeing applications -LRB- such as stock values -RRB- for R . They liked the practice problems , and would have liked more of them .","['probability knowledge', 'normal distribution', 'detailed explanation']","Most of the students found R programming, graphs, and PS questions interesting. Some others found R graphics, R code, and the problem session interesting.","Most of the students found R programming, graphs, and ps questions interesting. Some others found R graphics and R studio interesting. A few students also found normal distribution questions and the R code interesting.","Most of the students found R programming and PS questions to be the most interesting part of this lecture. Some others found R graphics, R code, and graphs to be interesting.",Most of the students enjoyed learning about R and the PS questions. Some of them also enjoyed the implementation of data in R and graphs in R. A few students also found the R code and Rstudio interesting.,"Most of the students enjoyed learning about R programming, and the PS questions. Some of them also found R graphics and graphs interesting. A few students also enjoyed understanding the properties of rstudio and understanding the problem session."
"The ps questions about the approximation of a distribution will be quite beneficial for us , also the implementation of data in R is useful i couldnt quite learn r the last semester so learning it here is helpful reading data in r Make a result of collection of data , look like normal distribution R graphics learning how to calculate in R PS . I had a chance to understand the topics better What i am capable with r function Use of R to analyze stocks The 3rd ps question r detailed explanation of rstudio was useful it was good solvent questions in order to learn easily for me Learned how to solve normal distribution questions The question types which were solved in ps hours . I did not think that these questions can be created in lectures . Question types deleting data in R programming Plotting using R -LRB- This is a late evaluation -RRB- Ps was very clear . We got satisfying answers to questions . properties of r studio some new functions which are said to be beneficial in R studio . some r functions Graphical questions in the ps with ps I started to get a better view Most interesting thing was to learn that R is capable of many things like reading Excel or txt files . graphs in r are the most interesting thing The R program is not interesting for me Some R codes the graphics in R and importing data to R R tutorial was nice but in order to learn the program we should practice . Learning that R program can read data from excell was very interesting . R diagrams It was good seeing a bit more about R codes things we can do with r In the first part of class , we practised R programming , whuch was easy to understand . In the second part , we solved questions , which was helpful for us to remember our probability knowledge . the fact that we can compute smallest and largest means , medians when the exact values are unknown i Did n't understand average mean and geometric mean difference The problem session was clear and useful for our better understanding of the course topics Interesting to combine the R with statistics on stock values @extractive","The recitation was a good time to learn about the many useful features of R , and how to use them , e.g. , plotting data sets and finding the mean and median . The questions in the problem set were well-organized to this end . The application to stock prices was a helpful demonstration .","['probability knowledge', 'normal distribution', 'detailed explanation']","Most of the students found R programming, graphs, and PS questions interesting. Some others found R graphics, R code, and the problem session interesting.","Most of the students found R programming, graphs, and ps questions interesting. Some others found R graphics and R studio interesting. A few students also found normal distribution questions and the R code interesting.","Most of the students found R programming and PS questions to be the most interesting part of this lecture. Some others found R graphics, R code, and graphs to be interesting.",Most of the students enjoyed learning about R and the PS questions. Some of them also enjoyed the implementation of data in R and graphs in R. A few students also found the R code and Rstudio interesting.,"Most of the students enjoyed learning about R programming, and the PS questions. Some of them also found R graphics and graphs interesting. A few students also enjoyed understanding the properties of rstudio and understanding the problem session."
"It was quite interesting that we can compare distributions by the help of Q-Q plot . In addition , X-bar 's being q distribution itself seems a little bit weird yet it will be useful The topics are starting to get complicated . It was interesting to see the new topics comparing samles and distributions in q q plot the difference between q-q plot and normal distribution plot Explanation of the relation between the histogram and scatterplot diagrams seeing cdf and frequency graphs together was interesting according to histograms , we can plot the empirical mean and theoretical mean and medians R coding comparimg normal distribution and samole distributions were mostly interesting The concept of Q-Q plot was interesting . Simulation example Q-q pilot sampling distribution i think sampling of distributions is kind of interesting and useful for us the topic of simulation was interesting How are the plots drawn with different distributions graphical illustrations Q-Q plot the point sample is a distribution Empirical median scatter plot the properties of sample sanpling distribution Usage of statistics in human life Scatter plot and empirical mean Simulation example The relation between median and mean . When Distribution is n't normal , median and mean are different . It was boring compared to the previous one interpretation of the sampling graphs I found Q-Q plot most interesting since it compares two distributions without needing 3th dimension . graphical representation of difference between mean and median i understand completely the meaning of sampling distribution of mean . Empirical median - theoretical mean and median from the histogram Q-Q plot very good to repeat every confusing thing Difference between sample mean and normal mean I think that class was not very interesting because we were already familiar with most of the concepts . the graphics are the most useful thing in the course . we can use a lot them in the real life Learning that x bar is a Random variate was the most interesting part for me the difference between the median of normal distribution and empirical median the part explaining empirical vs theoretical distribution . bank queue simulation problem relating with statistics . normal probability plot Comparing emprical data and normal distribution guessing mean and median from a histogram by intuition the first part Q-Q plot of today 's course was more interesting than the rest . Graphics help us to understand better . q-q plot with which we compare different distributions and sample being a variable bivariate variables Finding out that x bar can also be a random variable was interesting @extractive",Most students found the Q-Q plot interesting . Simulating random variables and comparing experiment to theory was also a helpful exercise .,"['real life', 'sampling distribution', 'random variable', 'graphical representation', 'human life', 'normal probability plot', 'normal distribution', 'theoretical distribution', 'scatter plot']","Most of the students found Q-Q plots and the concepts of sampling distribution and normal distribution interesting. Some others found the relation between mean and median, scatterplot and normal probability plot interesting.","Most of the students found Q-Q plots and sampling distribution interesting. Some others found normal distribution and scatterplots interesting. A few students also found the differences between mean and median interesting. Finally, a few students were interested in bank queue simulation and X-bar.",Most of the students found Q-Q plots and the concepts of sampling distribution and normal distribution interesting. Some of them also found the relation between mean and median interesting. A few students also found scatterplot and normal probability plot interesting.,Most of the students found Q-Q plots and the concepts of sampling distribution and normal distribution interesting. Some of them also found the relation between mean and median interesting. A few students also found scatterplots and normal probability plots interesting.,"Most of the students found Q-Q plots and the concepts of sampling distribution and normal distribution interesting. Some of them also found the relation between mean and median interesting. In addition, some students were interested in scatterplots, normal distribution and sampling distribution."
