oracle,generated_summary
Most students had trouble with regression and goodness of fit testing . Most of the other students had no trouble except for a few that were confused about the ps problems and felt the pace of the class was too fast .,"A little under half of students found everything clear. A few students had trouble with fit test regression, chiv square test, and the goodness of fit tests. A couple students also had problems with the PS questions."
"Students mostly had trouble with understanding what SST , SSE , and SSR were and what the differences between them were . They also still had some trouble with regression . A few students had trouble with Poisson distributions and beta .","Over half of students found SSR, SST, SSE, and regression as confusing. A few students had trouble with Poisson, Poisson Relationship, and SSE and SST. A couple students didn't understand regression, and a few struggled with coefficients of determination."
"Most students found type 2 error useful , and that the instructor repeated some topics . Hypothesis testing was a second favorite , and others mentioned F distribution , the relationship between alpha and beta , and general examples are being helpful .",Almost half of students found Type 2 Error interesting. A handful enjoyed F Distribution and Hypothesis Testing on Variance. A few students also enjoyed Alpha and Beta Theory and relation between alpha and beta. A couple students liked H1 S logic and concepts related to transformed spaces.
"Of the students that were confused , the vast majority had trouble with the very last part of the lecture regarding confidence intervals and the lower bound for the interval . There was some minor confusion regarding the P , C values and type 1 , type 2 error .","Almost half of students had no issues. A handful had trouble with confidence intervals, lower bound, and confidence interval method for hypothesis testing. A few struggled with P value, significance level, and the last part of lecture."
"Most students vaguely mentioned `` the last topic in class '' was the most confusing subject . Specific mentions include pooled variance , test on two means for small n , various tests on two samples , and the one and two tailed test in general .","Over half of students had no issues. A handful had trouble with test on two samples and pooled variance. A few students had problems with pooled variance and the last part of the lecture. A couple students had issues with two tailed, one tailed and one tailored tests."
"Most students found topics related to hypothesis testing most interesting , in particular the type 1 error , and the alternatives to hypothesis testing . Many also found the P value interesting .","Approximately 30 % of students enjoyed hypothesis testing. A handful liked P Value, Alternative methods of hypothesis testing, Type 1 Error and C Value. A few students also found critical point and significance level, critical point comparison of c and the steps to reject the hypotheses interesting."
"Several plots were very helpful to visualize , including the box plot , histogram , and normal probability , in order of helpfulness . Many students emphasized that seeing the graphs and seeing some applications was good for understanding .","Most of the students found boxplots and box-whisker diagrams most interesting. Some others liked histograms, normal probability plots, or nothing at all."
"Students either had problems with type 2 error , power of the test , or determining the correct region to test on a graph . The rest of the students had no problems .","Over half of students had no issues. A handful had trouble with Type 2 Error, and a few had problems with P Value, Power of the Test, and Hsj. A few students also had issues with confidence intervals and graphical region of power of the test."
"Students seemed to like using rstudio to calculate R , and creating graphics and seeing applications -LRB- such as stock values -RRB- for R . They liked the practice problems , and would have liked more of them .","In this lecture, the students found learning about R programming, understanding data in general, and understanding the ps questions to be the most interesting part of class. They also enjoyed understanding the properties of r-studio, R-graphs, and R-charts."
"The recitation was a good time to learn about the many useful features of R , and how to use them , e.g. , plotting data sets and finding the mean and median . The questions in the problem set were well-organized to this end . The application to stock prices was a helpful demonstration .","In this lecture, the students found learning about R programming, understanding data in general, and understanding the ps questions to be the most interesting part of class. They also enjoyed understanding the properties of r-studio, R-graphs, and R-charts."
Most students found the Q-Q plot interesting . Simulating random variables and comparing experiment to theory was also a helpful exercise .,"The students found comparing distributions in Q-Q plots and sampling distributions to be the most interesting part of this lecture. They also enjoyed understanding the difference between mean and median, empirical median, and normal probability plots. Finally, they enjoyed learning about statistics in general and the concepts related to statistics."
"Most students found the effects of the sample size interesting , closely followed by various error calculations -LRB- alpha , beta , confidence interval , and type 1,2 errors -RRB- , the power a test , and one - and two-tailed intervals . A smaller group found computing beta helpful .","Approximately 30 % of students enjoyed sample size computation for power, and a handful enjoyed beta teta and confidence interval. A few students also mentioned liking one-tailed and two-tailed tests, and the relation between confidence interval and error."
"During this lecture students had trouble with point estimates , interval estimates , estimators , understanding the difference between theta and theta hat , and the mean square error proof .","Many students had trouble with point estimator, interval estimation, teta variable, mean square error, and bias estimator. Some others had problems with population parameters and the last part of the lecture."
"Of the students that were confused , most of them were confused about type 2 error . The rest were confused about hypothesis testing in general , the critical value and P value , and the power of the test .","Over half of students had no issues. A handful had trouble with Type 2 Error, and a few had problems with P Value, Power of the Test, and Hsj. A few students also had issues with confidence intervals and graphical region of power of the test."
