oracle,generated_summary
Most students had trouble with regression and goodness of fit testing . Most of the other students had no trouble except for a few that were confused about the ps problems and felt the pace of the class was too fast .,"Most of students found nothing confusing. Some students had trouble with fit test, especially the concepts of goodness of fit test and regression. A few students also struggled with Chi square test and PS hour."
"Students mostly had trouble with understanding what SST , SSE , and SSR were and what the differences between them were . They also still had some trouble with regression . A few students had trouble with Poisson distributions and beta .","Most of students found SSE, SSR, Poisson, and SST as confusing. Some students also had trouble with the difference between SSE and SSR. A couple students had problems with regression, and a couple students struggled with SST and beta head."
"Most students found type 2 error useful , and that the instructor repeated some topics . Hypothesis testing was a second favorite , and others mentioned F distribution , the relationship between alpha and beta , and general examples are being helpful .","Most of the students found Type 2 Error and Hypothesis Testing on F Distribution as interesting. Some students also found Alpha and Beta Relationship between alpha and beta, Confidence Interval, and Application of F Distribution interesting. A few students were interested in the problem solving examples in general."
"Of the students that were confused , the vast majority had trouble with the very last part of the lecture regarding confidence intervals and the lower bound for the interval . There was some minor confusion regarding the P , C values and type 1 , type 2 error .",Most of students had trouble with the last part of lecture. They were confused about finding the lower or upper bound for hypothesis testing. Some students also struggled with confidence intervals and significance level. A few students also found Critical Value and P Value confusing.
"Most students vaguely mentioned `` the last topic in class '' was the most confusing subject . Specific mentions include pooled variance , test on two means for small n , various tests on two samples , and the one and two tailed test in general .","Most of students found nothing confusing. Some students had trouble with the last part of the lecture. Some were confused about pooled variance and test on two means. A few students also had problems with beta and teta value, tail test, and Type II error."
"Most students found topics related to hypothesis testing most interesting , in particular the type 1 error , and the alternatives to hypothesis testing . Many also found the P value interesting .","Most of students found P Value and Alternative Methods of Hypothesis Testing as interesting. Some students also found Type I and II errors interesting. A few students found Confidence Interval, Critical Point and Regression interesting."
"Several plots were very helpful to visualize , including the box plot , histogram , and normal probability , in order of helpfulness . Many students emphasized that seeing the graphs and seeing some applications was good for understanding .","Most of the students found box plots and box and whisker diagrams interesting. They also found the histogram concept interesting. Some students found Normal Probability Plot, Pie charts, and graphs on their usage interesting."
"Students either had problems with type 2 error , power of the test , or determining the correct region to test on a graph . The rest of the students had no problems .","Most of the students found Type 2 Error and Power of the Test as confusing. Some others had trouble with Critical Value, H1 and H2, and H3."
"Students seemed to like using rstudio to calculate R , and creating graphics and seeing applications -LRB- such as stock values -RRB- for R . They liked the practice problems , and would have liked more of them .",Most of the students found R programming in R studio to be interesting. They also found the PS questions to be the most interesting part of the lecture. Some other students found reading data in R and graphs in r to be most interesting.
"The recitation was a good time to learn about the many useful features of R , and how to use them , e.g. , plotting data sets and finding the mean and median . The questions in the problem set were well-organized to this end . The application to stock prices was a helpful demonstration .",Most of the students found R programming in R studio to be interesting. They also found the PS questions to be the most interesting part of the lecture. Some other students found reading data in R and graphs in r to be most interesting.
Most students found the Q-Q plot interesting . Simulating random variables and comparing experiment to theory was also a helpful exercise .,"Most of the students found Q-Q plot and the difference between empirical and theoretical mean and median as interesting. They also found the concepts of sampling of distributions and the concept of Q-bar and normal distribution interesting. Some students were interested in R coding, bank queue problem, scatterplot, and the new concepts of Sampling of Samples."
"Most students found the effects of the sample size interesting , closely followed by various error calculations -LRB- alpha , beta , confidence interval , and type 1,2 errors -RRB- , the power a test , and one - and two-tailed intervals . A smaller group found computing beta helpful .","Most of students found finding sample size for power and beta teta relationship interesting. Some students also found Type I and II error, one tailed test, and one-sided confidence interval interesting."
